event_time,entry_type,amount,category_l1,category_l2,account_from,account_to,discount,reimbursable,note
2025-12-20 00:00:00,income,2278.41,初始余额,,other,ylb_life,0,0,余利宝生活费初始余额
2025-12-20 00:00:00,income,1043.31,初始余额,,other,ylb_finance,0,0,余利宝理财金初始余额
2025-12-20 00:00:00,income,348.25,初始余额,,other,couple_pocket,0,0,情侣小荷包初始余额
2025-12-20 00:00:00,income,4000.00,初始余额,,other,wenlibao_rent,0,0,稳利宝-房租预备金初始余额
2025-12-20 00:00:00,income,3250.00,初始余额,,other,wenlibao_safe,0,0,稳利宝-安全金初始余额
2025-12-20 00:00:00,income,9475.30,初始余额,,other,wenlibao_project,0,0,稳利宝-项目资金初始余额
2025-12-20 00:00:00,income,5739.81,初始余额,,other,wenlibao_finance,0,0,稳利宝-理财金初始余额
2025-12-20 00:00:00,income,1855.76,初始余额,,other,wenlibao_active,0,0,稳利宝-理财金主动投入初始余额
2025-12-20 18:45:39,expense,18.8,出行交通,共享单车,ylb_life,,0,0,哈啰单车骑行卡自动续费
2025-12-19 09:56:08,expense,45.92,食品餐饮,水果,ylb_finance,,0,0,橙子菠萝蜜
2025-12-20 22:40:50,income,11.9,退款,食品餐饮,,ylb_finance,0,0,菠萝蜜退款
2025-12-20 04:02:19,income,0.10,理财盈利,余利宝利息,,ylb_life,0,0,余利宝利息
