product_code,product_name,nav_date,nav,total_nav,income,weekly_rate,fetched_at
产品代码,产品名称,净值日期,单位净值,累计净值,日收益,周收益率,采集时间
000307,易方达黄金ETF联接A,2025-07-01,2.5585,2.5585,0,1.05%,2025-12-18 02:46:09.336
000307,易方达黄金ETF联接A,2025-07-02,2.5523,2.5523,0,-0.24%,2025-12-18 02:46:09.336
000307,易方达黄金ETF联接A,2025-07-03,2.5691,2.5691,0,0.66%,2025-12-18 02:46:09.336
000307,易方达黄金ETF联接A,2025-07-04,2.5558,2.5558,0,-0.52%,2025-12-18 02:46:09.336
000307,易方达黄金ETF联接A,2025-07-07,2.5426,2.5426,0,-0.52%,2025-12-18 02:46:09.336
000307,易方达黄金ETF联接A,2025-07-08,2.5543,2.5543,0,0.46%,2025-12-18 02:46:09.336
000307,易方达黄金ETF联接A,2025-07-09,2.5288,2.5288,0,-1.00%,2025-12-18 02:46:09.336
000307,易方达黄金ETF联接A,2025-07-10,2.5487,2.5487,0,0.79%,2025-12-18 02:46:09.336
000307,易方达黄金ETF联接A,2025-07-11,2.5485,2.5485,0,-0.01%,2025-12-18 02:46:09.336
000307,易方达黄金ETF联接A,2025-07-14,2.5726,2.5726,0,0.95%,2025-12-18 02:46:09.336
000307,易方达黄金ETF联接A,2025-07-15,2.5683,2.5683,0,-0.17%,2025-12-18 02:46:09.336
000307,易方达黄金ETF联接A,2025-07-16,2.5568,2.5568,0,-0.45%,2025-12-18 02:46:09.336
000307,易方达黄金ETF联接A,2025-07-17,2.5521,2.5521,0,-0.18%,2025-12-18 02:46:09.336
000307,易方达黄金ETF联接A,2025-07-18,2.5601,2.5601,0,0.31%,2025-12-18 02:46:09.336
000307,易方达黄金ETF联接A,2025-07-21,2.5721,2.5721,0,0.47%,2025-12-18 02:46:09.336
000307,易方达黄金ETF联接A,2025-07-22,2.5815,2.5815,0,0.37%,2025-12-18 02:46:09.336
000307,易方达黄金ETF联接A,2025-07-23,2.6070,2.6070,0,0.99%,2025-12-18 02:46:09.167
000307,易方达黄金ETF联接A,2025-07-24,2.5651,2.5651,0,-1.61%,2025-12-18 02:46:09.167
000307,易方达黄金ETF联接A,2025-07-25,2.5614,2.5614,0,-0.14%,2025-12-18 02:46:09.167
000307,易方达黄金ETF联接A,2025-07-28,2.5536,2.5536,0,-0.30%,2025-12-18 02:46:09.166
000307,易方达黄金ETF联接A,2025-07-29,2.5408,2.5408,0,-0.50%,2025-12-18 02:46:09.166
000307,易方达黄金ETF联接A,2025-07-30,2.5471,2.5471,0,0.25%,2025-12-18 02:46:09.166
000307,易方达黄金ETF联接A,2025-07-31,2.5397,2.5397,0,-0.29%,2025-12-18 02:46:09.166
000307,易方达黄金ETF联接A,2025-08-01,2.5395,2.5395,0,-0.01%,2025-12-18 02:46:09.166
000307,易方达黄金ETF联接A,2025-08-04,2.5667,2.5667,0,1.07%,2025-12-18 02:46:09.166
000307,易方达黄金ETF联接A,2025-08-05,2.5788,2.5788,0,0.47%,2025-12-18 02:46:09.166
000307,易方达黄金ETF联接A,2025-08-06,2.5765,2.5765,0,-0.09%,2025-12-18 02:46:09.166
000307,易方达黄金ETF联接A,2025-08-07,2.5855,2.5855,0,0.35%,2025-12-18 02:46:09.166
