date,nav,accum_nav,change_pct
2021-06-15,1.0000,1.0000,0.00
2021-06-18,1.0001,1.0001,0.00
2021-06-25,1.0004,1.0004,0.00
2021-06-30,1.0016,1.0016,0.00
2021-07-02,1.0009,1.0009,0.00
2021-07-09,1.0034,1.0034,0.00
2021-07-16,1.0043,1.0043,0.00
2021-07-19,1.0032,1.0032,-0.11
2021-07-20,1.0025,1.0025,-0.07
2021-07-21,1.0056,1.0056,0.31
2021-07-22,1.0064,1.0064,0.08
2021-07-23,1.0046,1.0046,-0.18
2021-07-26,1.0016,1.0016,-0.30
2021-07-27,0.9957,0.9957,-0.59
2021-07-28,0.9946,0.9946,-0.11
2021-07-29,1.0009,1.0009,0.63
2021-07-30,0.9999,0.9999,-0.10
2021-08-02,1.0033,1.0033,0.34
2021-08-03,1.0001,1.0001,-0.32
2021-08-04,1.0055,1.0055,0.54
2021-08-05,1.0036,1.0036,-0.19
2021-08-06,1.0034,1.0034,-0.02
2021-08-09,1.0040,1.0040,0.06
2021-08-10,1.0050,1.0050,0.10
2021-08-11,1.0069,1.0069,0.19
2021-08-12,1.0086,1.0086,0.17
2021-08-13,1.0082,1.0082,-0.04
2021-08-16,1.0059,1.0059,-0.23
2021-08-17,0.9993,0.9993,-0.66
2021-08-18,1.0023,1.0023,0.30
2021-08-19,1.0030,1.0030,0.07
2021-08-20,1.0004,1.0004,-0.26
2021-08-23,1.0057,1.0057,0.53
2021-08-24,1.0088,1.0088,0.31
2021-08-25,1.0105,1.0105,0.17
2021-08-26,1.0069,1.0069,-0.36
2021-08-27,1.0084,1.0084,0.15
2021-08-30,1.0097,1.0097,0.13
2021-08-31,1.0117,1.0117,0.20
2021-09-01,1.0063,1.0063,-0.53
2021-09-02,1.0086,1.0086,0.23
2021-09-03,1.0038,1.0038,-0.48
2021-09-06,1.0130,1.0130,0.92
2021-09-07,1.0242,1.0242,1.11
2021-09-08,1.0221,1.0221,-0.21
2021-09-09,1.0247,1.0247,0.25
2021-09-10,1.0281,1.0281,0.33
2021-09-13,1.0268,1.0268,-0.13
2021-09-14,1.0260,1.0260,-0.08
2021-09-15,1.0276,1.0276,0.16
2021-09-16,1.0145,1.0145,-1.27
2021-09-17,1.0142,1.0142,-0.03
2021-09-22,1.0189,1.0189,0.46
2021-09-23,1.0214,1.0214,0.25
2021-09-24,1.0161,1.0161,-0.52
2021-09-27,1.0044,1.0044,-1.15
2021-09-28,1.0044,1.0044,0.00
2021-09-29,0.9876,0.9876,-1.67
2021-09-30,0.9988,0.9988,1.13
2021-10-08,0.9920,0.9920,-0.68
2021-10-11,0.9917,0.9917,-0.03
2021-10-12,0.9787,0.9787,-1.31
2021-10-13,0.9859,0.9859,0.74
2021-10-14,0.9887,0.9887,0.28
2021-10-15,0.9967,0.9967,0.81
2021-10-18,0.9963,0.9963,-0.04
2021-10-19,1.0002,1.0002,0.39
2021-10-20,1.0003,1.0003,0.01
2021-10-21,0.9996,0.9996,-0.07
2021-10-22,0.9961,0.9961,-0.35
2021-10-25,1.0047,1.0047,0.86
2021-10-26,1.0017,1.0017,-0.30
2021-10-27,0.9980,0.9980,-0.37
2021-10-28,0.9853,0.9853,-1.27
2021-10-29,0.9941,0.9941,0.89
2021-11-01,0.9954,0.9954,0.13
2021-11-02,0.9869,0.9869,-0.85
2021-11-03,0.9860,0.9860,-0.09
2021-11-04,0.9931,0.9931,0.72
2021-11-05,0.9825,0.9825,-1.07
2021-11-08,0.9835,0.9835,0.10
2021-11-09,0.9921,0.9921,0.87
2021-11-10,0.9889,0.9889,-0.32
2021-11-11,1.0006,1.0006,1.18
2021-11-12,1.0042,1.0042,0.36
2021-11-15,0.9954,0.9954,-0.88
2021-11-16,0.9877,0.9877,-0.77
2021-11-17,0.9929,0.9929,0.53
2021-11-18,0.9882,0.9882,-0.47
2021-11-19,0.9992,0.9992,1.11
2021-11-22,1.0122,1.0122,1.30
2021-11-23,1.0111,1.0111,-0.11
2021-11-24,1.0112,1.0112,0.01
2021-11-25,1.0098,1.0098,-0.14
2021-11-26,1.0088,1.0088,-0.10
2021-11-29,1.0148,1.0148,0.59
2021-11-30,1.0195,1.0195,0.46
2021-12-01,1.0193,1.0193,-0.02
2021-12-02,1.0164,1.0164,-0.28
2021-12-03,1.0235,1.0235,0.70
2021-12-06,1.0151,1.0151,-0.82
2021-12-07,1.0104,1.0104,-0.46
2021-12-08,1.0248,1.0248,1.43
2021-12-09,1.0288,1.0288,0.39
2021-12-10,1.0270,1.0270,-0.17
2021-12-13,1.0298,1.0298,0.27
2021-12-14,1.0263,1.0263,-0.34
2021-12-15,1.0188,1.0188,-0.73
2021-12-16,1.0278,1.0278,0.88
2021-12-17,1.0143,1.0143,-1.31
2021-12-20,0.9978,0.9978,-1.63
2021-12-21,1.0076,1.0076,0.98
2021-12-22,1.0131,1.0131,0.55
2021-12-23,1.0158,1.0158,0.27
2021-12-24,1.0070,1.0070,-0.87
2021-12-27,1.0073,1.0073,0.03
2021-12-28,1.0111,1.0111,0.38
2021-12-29,1.0081,1.0081,-0.30
2021-12-30,1.0172,1.0172,0.90
2021-12-31,1.0239,1.0239,0.66
2022-01-04,1.0214,1.0214,-0.24
2022-01-05,1.0044,1.0044,-1.66
2022-01-06,1.0045,1.0045,0.01
2022-01-07,0.9980,0.9980,-0.65
2022-01-10,1.0021,1.0021,0.41
2022-01-11,0.9971,0.9971,-0.50
2022-01-12,1.0068,1.0068,0.97
2022-01-13,0.9960,0.9960,-1.07
2022-01-14,0.9940,0.9940,-0.20
2022-01-17,1.0045,1.0045,1.06
2022-01-18,1.0054,1.0054,0.09
2022-01-19,0.9994,0.9994,-0.60
2022-01-20,0.9909,0.9909,-0.85
2022-01-21,0.9789,0.9789,-1.21
2022-01-24,0.9805,0.9805,0.16
2022-01-25,0.9531,0.9531,-2.79
2022-01-26,0.9570,0.9570,0.41
2022-01-27,0.9327,0.9327,-2.54
2022-01-28,0.9286,0.9286,-0.44
2022-02-07,0.9413,0.9413,1.37
2022-02-08,0.9451,0.9451,0.40
2022-02-09,0.9563,0.9563,1.19
2022-02-10,0.9548,0.9548,-0.16
2022-02-11,0.9437,0.9437,-1.16
2022-02-14,0.9395,0.9395,-0.45
2022-02-15,0.9518,0.9518,1.31
2022-02-16,0.9554,0.9554,0.38
2022-02-17,0.9577,0.9577,0.24
2022-02-18,0.9643,0.9643,0.69
2022-02-21,0.9680,0.9680,0.38
2022-02-22,0.9581,0.9581,-1.02
2022-02-23,0.9746,0.9746,1.72
2022-02-24,0.9593,0.9593,-1.57
2022-02-25,0.9678,0.9678,0.89
2022-02-28,0.9733,0.9733,0.57
2022-03-01,0.9777,0.9777,0.45
2022-03-02,0.9758,0.9758,-0.19
2022-03-03,0.9724,0.9724,-0.35
2022-03-04,0.9665,0.9665,-0.61
2022-03-07,0.9466,0.9466,-2.06
2022-03-08,0.9172,0.9172,-3.11
2022-03-09,0.9024,0.9024,-1.61
2022-03-10,0.9205,0.9205,2.01
2022-03-11,0.9265,0.9265,0.65
2022-03-14,0.9046,0.9046,-2.36
2022-03-15,0.8608,0.8608,-4.84
2022-03-16,0.8861,0.8861,2.94
2022-03-17,0.8996,0.8996,1.52
2022-03-18,0.9077,0.9077,0.90
2022-03-21,0.9101,0.9101,0.26
2022-03-22,0.9096,0.9096,-0.05
2022-03-23,0.9156,0.9156,0.66
2022-03-24,0.9110,0.9110,-0.50
2022-03-25,0.9009,0.9009,-1.11
2022-03-28,0.9006,0.9006,-0.03
2022-03-29,0.8993,0.8993,-0.14
2022-03-30,0.9147,0.9147,1.71
2022-03-31,0.9075,0.9075,-0.79
2022-04-01,0.9141,0.9141,0.73
2022-04-06,0.9082,0.9082,-0.65
2022-04-07,0.8931,0.8931,-1.66
2022-04-08,0.8942,0.8942,0.12
2022-04-11,0.8687,0.8687,-2.85
2022-04-12,0.8824,0.8824,1.58
2022-04-13,0.8736,0.8736,-1.00
2022-04-14,0.8813,0.8813,0.88
2022-04-15,0.8760,0.8760,-0.60
2022-04-18,0.8765,0.8765,0.06
2022-04-19,0.8776,0.8776,0.13
2022-04-20,0.8595,0.8595,-2.06
2022-04-21,0.8347,0.8347,-2.89
2022-04-22,0.8324,0.8324,-0.28
2022-04-25,0.7829,0.7829,-5.95
2022-04-26,0.7643,0.7643,-2.38
2022-04-27,0.7950,0.7950,4.02
2022-04-28,0.7940,0.7940,-0.13
2022-04-29,0.8220,0.8220,3.53
2022-05-05,0.8283,0.8283,0.77
2022-05-06,0.8141,0.8141,-1.71
2022-05-09,0.8170,0.8170,0.36
2022-05-10,0.8260,0.8260,1.10
2022-05-11,0.8330,0.8330,0.85
2022-05-12,0.8341,0.8341,0.13
2022-05-13,0.8403,0.8403,0.74
2022-05-16,0.8398,0.8398,-0.06
2022-05-17,0.8451,0.8451,0.63
2022-05-18,0.8425,0.8425,-0.31
2022-05-19,0.8480,0.8480,0.65
2022-05-20,0.8596,0.8596,1.37
2022-05-23,0.8662,0.8662,0.77
2022-05-24,0.8380,0.8380,-3.26
2022-05-25,0.8489,0.8489,1.30
2022-05-26,0.8563,0.8563,0.87
2022-05-27,0.8541,0.8541,-0.26
2022-05-30,0.8597,0.8597,0.66
2022-05-31,0.8713,0.8713,1.35
2022-06-01,0.8723,0.8723,0.11
2022-06-02,0.8800,0.8800,0.88
2022-06-06,0.8991,0.8991,2.17
2022-06-07,0.9013,0.9013,0.24
2022-06-08,0.9076,0.9076,0.70
2022-06-09,0.8971,0.8971,-1.16
2022-06-10,0.9145,0.9145,1.94
2022-06-13,0.9139,0.9139,-0.07
2022-06-14,0.9180,0.9180,0.45
2022-06-15,0.9156,0.9156,-0.26
2022-06-16,0.9184,0.9184,0.31
2022-06-17,0.9281,0.9281,1.06
2022-06-20,0.9292,0.9292,0.12
2022-06-21,0.9188,0.9188,-1.12
2022-06-22,0.9063,0.9063,-1.36
2022-06-23,0.9231,0.9231,1.85
2022-06-24,0.9336,0.9336,1.14
2022-06-27,0.9430,0.9430,1.01
2022-06-28,0.9562,0.9562,1.40
2022-06-29,0.9386,0.9386,-1.84
2022-06-30,0.9521,0.9521,1.44
2022-07-01,0.9535,0.9535,0.15
2022-07-04,0.9660,0.9660,1.31
2022-07-05,0.9651,0.9651,-0.09
2022-07-06,0.9534,0.9534,-1.21
2022-07-07,0.9582,0.9582,0.50
