product_code,product_name,nav_date,nav,total_nav,income,weekly_rate,fetched_at
产品代码,产品名称,净值日期,单位净值,累计净值,日收益,周收益率,采集时间
012080,易方达中证500指数量化增强A,2025-07-01,0.9647,0.9647,0,0.41%,2025-12-18 02:46:32.882
012080,易方达中证500指数量化增强A,2025-07-02,0.9596,0.9596,0,-0.53%,2025-12-18 02:46:32.882
012080,易方达中证500指数量化增强A,2025-07-03,0.9649,0.9649,0,0.55%,2025-12-18 02:46:32.882
012080,易方达中证500指数量化增强A,2025-07-04,0.9626,0.9626,0,-0.24%,2025-12-18 02:46:32.882
012080,易方达中证500指数量化增强A,2025-07-07,0.9609,0.9609,0,-0.18%,2025-12-18 02:46:32.882
012080,易方达中证500指数量化增强A,2025-07-08,0.9740,0.9740,0,1.36%,2025-12-18 02:46:32.882
012080,易方达中证500指数量化增强A,2025-07-09,0.9709,0.9709,0,-0.32%,2025-12-18 02:46:32.882
012080,易方达中证500指数量化增强A,2025-07-10,0.9742,0.9742,0,0.34%,2025-12-18 02:46:32.882
012080,易方达中证500指数量化增强A,2025-07-11,0.9801,0.9801,0,0.61%,2025-12-18 02:46:32.882
012080,易方达中证500指数量化增强A,2025-07-14,0.9815,0.9815,0,0.14%,2025-12-18 02:46:32.882
012080,易方达中证500指数量化增强A,2025-07-15,0.9818,0.9818,0,0.03%,2025-12-18 02:46:32.882
012080,易方达中证500指数量化增强A,2025-07-16,0.9823,0.9823,0,0.05%,2025-12-18 02:46:32.882
012080,易方达中证500指数量化增强A,2025-07-17,0.9924,0.9924,0,1.03%,2025-12-18 02:46:32.882
012080,易方达中证500指数量化增强A,2025-07-18,0.9942,0.9942,0,0.18%,2025-12-18 02:46:32.882
012080,易方达中证500指数量化增强A,2025-07-21,1.0039,1.0039,0,0.98%,2025-12-18 02:46:32.882
012080,易方达中证500指数量化增强A,2025-07-22,1.0129,1.0129,0,0.90%,2025-12-18 02:46:32.882
012080,易方达中证500指数量化增强A,2025-07-23,1.0111,1.0111,0,-0.18%,2025-12-18 02:46:32.713
012080,易方达中证500指数量化增强A,2025-07-24,1.0235,1.0235,0,1.23%,2025-12-18 02:46:32.713
012080,易方达中证500指数量化增强A,2025-07-25,1.0238,1.0238,0,0.03%,2025-12-18 02:46:32.713
012080,易方达中证500指数量化增强A,2025-07-28,1.0277,1.0277,0,0.38%,2025-12-18 02:46:32.713
012080,易方达中证500指数量化增强A,2025-07-29,1.0328,1.0328,0,0.50%,2025-12-18 02:46:32.713
012080,易方达中证500指数量化增强A,2025-07-30,1.0280,1.0280,0,-0.46%,2025-12-18 02:46:32.713
012080,易方达中证500指数量化增强A,2025-07-31,1.0150,1.0150,0,-1.26%,2025-12-18 02:46:32.713
012080,易方达中证500指数量化增强A,2025-08-01,1.0155,1.0155,0,0.05%,2025-12-18 02:46:32.713
012080,易方达中证500指数量化增强A,2025-08-04,1.0237,1.0237,0,0.81%,2025-12-18 02:46:32.713
012080,易方达中证500指数量化增强A,2025-08-05,1.0307,1.0307,0,0.68%,2025-12-18 02:46:32.713
012080,易方达中证500指数量化增强A,2025-08-06,1.0393,1.0393,0,0.83%,2025-12-18 02:46:32.713
012080,易方达中证500指数量化增强A,2025-08-07,1.0357,1.0357,0,-0.35%,2025-12-18 02:46:32.713
012080,易方达中证500指数量化增强A,2025-08-08,1.0341,1.0341,0,-0.15%,2025-12-18 02:46:32.713
012080,易方达中证500指数量化增强A,2025-08-11,1.0454,1.0454,0,1.09%,2025-12-18 02:46:32.713
012080,易方达中证500指数量化增强A,2025-08-12,1.0495,1.0495,0,0.39%,2025-12-18 02:46:32.713
012080,易方达中证500指数量化增强A,2025-08-13,1.0642,1.0642,0,1.40%,2025-12-18 02:46:32.713
012080,易方达中证500指数量化增强A,2025-08-14,1.0512,1.0512,0,-1.22%,2025-12-18 02:46:32.713
