product_code,product_name,ISS_DATE,NAV,TOT_NAV,INCOME,WEEK_CLIENTRATE,fetched_at
013308,易方达恒生科技ETF联接(QDII)A,2025-10-09,1.5897,1.5897,0,0.15%,2025-12-18T00:58:48.010471
013308,易方达恒生科技ETF联接(QDII)A,2025-10-10,1.5387,1.5387,0,-3.21%,2025-12-18T00:58:48.010471
013308,易方达恒生科技ETF联接(QDII)A,2025-10-13,1.5118,1.5118,0,-1.75%,2025-12-18T00:58:48.010471
013308,易方达恒生科技ETF联接(QDII)A,2025-10-14,1.4612,1.4612,0,-3.35%,2025-12-18T00:58:48.010471
013308,易方达恒生科技ETF联接(QDII)A,2025-10-15,1.4963,1.4963,0,2.40%,2025-12-18T00:58:48.010471
013308,易方达恒生科技ETF联接(QDII)A,2025-10-16,1.4791,1.4791,0,-1.15%,2025-12-18T00:58:48.010471
013308,易方达恒生科技ETF联接(QDII)A,2025-10-17,1.4221,1.4221,0,-3.85%,2025-12-18T00:58:48.010471
013308,易方达恒生科技ETF联接(QDII)A,2025-10-20,1.4627,1.4627,0,2.85%,2025-12-18T00:58:48.010471
013308,易方达恒生科技ETF联接(QDII)A,2025-10-21,1.4790,1.4790,0,1.11%,2025-12-18T00:58:48.010471
013308,易方达恒生科技ETF联接(QDII)A,2025-10-22,1.4597,1.4597,0,-1.30%,2025-12-18T00:58:48.010471
013308,易方达恒生科技ETF联接(QDII)A,2025-10-23,1.4659,1.4659,0,0.42%,2025-12-18T00:58:47.743564
013308,易方达恒生科技ETF联接(QDII)A,2025-10-24,1.4912,1.4912,0,1.73%,2025-12-18T00:58:47.743564
013308,易方达恒生科技ETF联接(QDII)A,2025-10-27,1.5166,1.5166,0,1.70%,2025-12-18T00:58:47.743564
013308,易方达恒生科技ETF联接(QDII)A,2025-10-28,1.4982,1.4982,0,-1.21%,2025-12-18T00:58:47.743564
013308,易方达恒生科技ETF联接(QDII)A,2025-10-29,1.4977,1.4977,0,-0.03%,2025-12-18T00:58:47.743564
013308,易方达恒生科技ETF联接(QDII)A,2025-10-30,1.4884,1.4884,0,-0.62%,2025-12-18T00:58:47.743564
013308,易方达恒生科技ETF联接(QDII)A,2025-10-31,1.4552,1.4552,0,-2.23%,2025-12-18T00:58:47.743564
013308,易方达恒生科技ETF联接(QDII)A,2025-11-03,1.4574,1.4574,0,0.15%,2025-12-18T00:58:47.743564
013308,易方达恒生科技ETF联接(QDII)A,2025-11-04,1.4327,1.4327,0,-1.69%,2025-12-18T00:58:47.743564
013308,易方达恒生科技ETF联接(QDII)A,2025-11-05,1.4254,1.4254,0,-0.51%,2025-12-18T00:58:47.743564
013308,易方达恒生科技ETF联接(QDII)A,2025-11-06,1.4617,1.4617,0,2.55%,2025-12-18T00:58:47.743564
013308,易方达恒生科技ETF联接(QDII)A,2025-11-07,1.4357,1.4357,0,-1.78%,2025-12-18T00:58:47.743564
013308,易方达恒生科技ETF联接(QDII)A,2025-11-10,1.4542,1.4542,0,1.29%,2025-12-18T00:58:47.743564
013308,易方达恒生科技ETF联接(QDII)A,2025-11-11,1.4568,1.4568,0,0.18%,2025-12-18T00:58:47.743564
013308,易方达恒生科技ETF联接(QDII)A,2025-11-12,1.4588,1.4588,0,0.14%,2025-12-18T00:58:47.743564
013308,易方达恒生科技ETF联接(QDII)A,2025-11-13,1.4707,1.4707,0,0.82%,2025-12-18T00:58:47.743564
013308,易方达恒生科技ETF联接(QDII)A,2025-11-14,1.4312,1.4312,0,-2.69%,2025-12-18T00:58:47.743564
013308,易方达恒生科技ETF联接(QDII)A,2025-11-17,1.4178,1.4178,0,-0.94%,2025-12-18T00:58:47.743564
013308,易方达恒生科技ETF联接(QDII)A,2025-11-18,1.3918,1.3918,0,-1.83%,2025-12-18T00:58:47.743564
013308,易方达恒生科技ETF联接(QDII)A,2025-11-19,1.3809,1.3809,0,-0.78%,2025-12-18T00:58:47.743564
