product_code,product_name,nav_date,nav,total_nav,income,weekly_rate,fetched_at
产品代码,产品名称,净值日期,单位净值,累计净值,日收益,周收益率,采集时间
016452,南方纳斯达克100指数(QDII)A,2022-11-29,1.0000,1.0000,0,,2025-12-18 16:46:29.370
016452,南方纳斯达克100指数(QDII)A,2022-12-01,1.0000,1.0000,0,,2025-12-18 16:46:29.370
016452,南方纳斯达克100指数(QDII)A,2022-12-08,0.9997,0.9997,0,,2025-12-18 16:46:29.370
016452,南方纳斯达克100指数(QDII)A,2022-12-15,0.9987,0.9987,0,,2025-12-18 16:46:29.370
016452,南方纳斯达克100指数(QDII)A,2022-12-22,0.9965,0.9965,0,,2025-12-18 16:46:29.370
016452,南方纳斯达克100指数(QDII)A,2022-12-29,0.9960,0.9960,0,,2025-12-18 16:46:29.370
016452,南方纳斯达克100指数(QDII)A,2022-12-31,0.9970,0.9970,0,,2025-12-18 16:46:29.370
016452,南方纳斯达克100指数(QDII)A,2023-01-05,0.9832,0.9832,0,,2025-12-18 16:46:29.370
016452,南方纳斯达克100指数(QDII)A,2023-01-12,1.0046,1.0046,0,,2025-12-18 16:46:29.370
016452,南方纳斯达克100指数(QDII)A,2023-01-19,0.9973,0.9973,0,,2025-12-18 16:46:29.370
016452,南方纳斯达克100指数(QDII)A,2023-01-20,1.0111,1.0111,0,1.38%,2025-12-18 16:46:29.370
016452,南方纳斯达克100指数(QDII)A,2023-01-30,1.0179,1.0179,0,0.67%,2025-12-18 16:46:29.370
016452,南方纳斯达克100指数(QDII)A,2023-01-31,1.0317,1.0317,0,1.36%,2025-12-18 16:46:29.369
016452,南方纳斯达克100指数(QDII)A,2023-02-01,1.0494,1.0494,0,1.72%,2025-12-18 16:46:29.369
016452,南方纳斯达克100指数(QDII)A,2023-02-02,1.0790,1.0790,0,2.82%,2025-12-18 16:46:29.369
016452,南方纳斯达克100指数(QDII)A,2023-02-03,1.0646,1.0646,0,-1.33%,2025-12-18 16:46:29.020
016452,南方纳斯达克100指数(QDII)A,2023-02-06,1.0615,1.0615,0,-0.29%,2025-12-18 16:46:29.020
016452,南方纳斯达克100指数(QDII)A,2023-02-07,1.0859,1.0859,0,2.30%,2025-12-18 16:46:29.019
016452,南方纳斯达克100指数(QDII)A,2023-02-08,1.0638,1.0638,0,-2.04%,2025-12-18 16:46:29.019
016452,南方纳斯达克100指数(QDII)A,2023-02-09,1.0568,1.0568,0,-0.66%,2025-12-18 16:46:29.019
016452,南方纳斯达克100指数(QDII)A,2023-02-10,1.0503,1.0503,0,-0.62%,2025-12-18 16:46:29.019
