product_code,product_name,nav_date,nav,total_nav,income,weekly_rate,fetched_at
产品代码,产品名称,净值日期,单位净值,累计净值,日收益,周收益率,采集时间
019767,景顺长城科创50指数增强A,2025-07-01,1.3581,1.3581,0,-0.88%,2025-12-18 02:47:13.857
019767,景顺长城科创50指数增强A,2025-07-02,1.3410,1.3410,0,-1.26%,2025-12-18 02:47:13.857
019767,景顺长城科创50指数增强A,2025-07-03,1.3444,1.3444,0,0.25%,2025-12-18 02:47:13.857
019767,景顺长城科创50指数增强A,2025-07-04,1.3429,1.3429,0,-0.11%,2025-12-18 02:47:13.857
019767,景顺长城科创50指数增强A,2025-07-07,1.3357,1.3357,0,-0.54%,2025-12-18 02:47:13.857
019767,景顺长城科创50指数增强A,2025-07-08,1.3527,1.3527,0,1.27%,2025-12-18 02:47:13.857
019767,景顺长城科创50指数增强A,2025-07-09,1.3412,1.3412,0,-0.85%,2025-12-18 02:47:13.857
019767,景顺长城科创50指数增强A,2025-07-10,1.3373,1.3373,0,-0.29%,2025-12-18 02:47:13.857
019767,景顺长城科创50指数增强A,2025-07-11,1.3579,1.3579,0,1.54%,2025-12-18 02:47:13.857
019767,景顺长城科创50指数增强A,2025-07-14,1.3551,1.3551,0,-0.21%,2025-12-18 02:47:13.857
019767,景顺长城科创50指数增强A,2025-07-15,1.3605,1.3605,0,0.40%,2025-12-18 02:47:13.857
019767,景顺长城科创50指数增强A,2025-07-16,1.3626,1.3626,0,0.15%,2025-12-18 02:47:13.857
019767,景顺长城科创50指数增强A,2025-07-17,1.3738,1.3738,0,0.82%,2025-12-18 02:47:13.857
019767,景顺长城科创50指数增强A,2025-07-18,1.3768,1.3768,0,0.22%,2025-12-18 02:47:13.857
019767,景顺长城科创50指数增强A,2025-07-21,1.3804,1.3804,0,0.26%,2025-12-18 02:47:13.857
019767,景顺长城科创50指数增强A,2025-07-22,1.3896,1.3896,0,0.67%,2025-12-18 02:47:13.857
019767,景顺长城科创50指数增强A,2025-07-23,1.3960,1.3960,0,0.46%,2025-12-18 02:47:13.726
019767,景顺长城科创50指数增强A,2025-07-24,1.4112,1.4112,0,1.09%,2025-12-18 02:47:13.726
019767,景顺长城科创50指数增强A,2025-07-25,1.4398,1.4398,0,2.03%,2025-12-18 02:47:13.726
019767,景顺长城科创50指数增强A,2025-07-28,1.4418,1.4418,0,0.14%,2025-12-18 02:47:13.726
019767,景顺长城科创50指数增强A,2025-07-29,1.4589,1.4589,0,1.19%,2025-12-18 02:47:13.726
019767,景顺长城科创50指数增强A,2025-07-30,1.4448,1.4448,0,-0.97%,2025-12-18 02:47:13.726
019767,景顺长城科创50指数增强A,2025-07-31,1.4336,1.4336,0,-0.78%,2025-12-18 02:47:13.726
019767,景顺长城科创50指数增强A,2025-08-01,1.4214,1.4214,0,-0.85%,2025-12-18 02:47:13.726
019767,景顺长城科创50指数增强A,2025-08-04,1.4405,1.4405,0,1.34%,2025-12-18 02:47:13.726
019767,景顺长城科创50指数增强A,2025-08-05,1.4458,1.4458,0,0.37%,2025-12-18 02:47:13.726
019767,景顺长城科创50指数增强A,2025-08-06,1.4544,1.4544,0,0.59%,2025-12-18 02:47:13.726
019767,景顺长城科创50指数增强A,2025-08-07,1.4531,1.4531,0,-0.09%,2025-12-18 02:47:13.726
019767,景顺长城科创50指数增强A,2025-08-08,1.4355,1.4355,0,-1.21%,2025-12-18 02:47:13.726
019767,景顺长城科创50指数增强A,2025-08-11,1.4460,1.4460,0,0.73%,2025-12-18 02:47:13.726
019767,景顺长城科创50指数增强A,2025-08-12,1.4731,1.4731,0,1.87%,2025-12-18 02:47:13.726
019767,景顺长城科创50指数增强A,2025-08-13,1.4858,1.4858,0,0.86%,2025-12-18 02:47:13.726
019767,景顺长城科创50指数增强A,2025-08-14,1.4945,1.4945,0,0.59%,2025-12-18 02:47:13.726
019767,景顺长城科创50指数增强A,2025-08-15,1.5175,1.5175,0,1.54%,2025-12-18 02:47:13.726
019767,景顺长城科创50指数增强A,2025-08-18,1.5454,1.5454,0,1.84%,2025-12-18 02:47:13.726
019767,景顺长城科创50指数增强A,2025-08-19,1.5293,1.5293,0,-1.04%,2025-12-18 02:47:13.725
019767,景顺长城科创50指数增强A,2025-08-20,1.5737,1.5737,0,2.90%,2025-12-18 02:47:13.557
019767,景顺长城科创50指数增强A,2025-08-21,1.5736,1.5736,0,-0.01%,2025-12-18 02:47:13.557
