product_code,product_name,nav_date,nav,total_nav,income,weekly_rate,fetched_at
产品代码,产品名称,净值日期,单位净值,累计净值,日收益,周收益率,采集时间
020602,易方达红利低波ETF联接A,2024-03-12,1.0000,1.0000,0,,2025-12-18 16:42:08.486
020602,易方达红利低波ETF联接A,2024-03-14,1.0000,1.0000,0,,2025-12-18 16:42:08.486
020602,易方达红利低波ETF联接A,2024-03-15,1.0000,1.0000,0,0.00%,2025-12-18 16:42:08.486
020602,易方达红利低波ETF联接A,2024-03-18,1.0001,1.0001,0,0.01%,2025-12-18 16:42:08.486
020602,易方达红利低波ETF联接A,2024-03-19,0.9989,0.9989,0,-0.12%,2025-12-18 16:42:08.486
020602,易方达红利低波ETF联接A,2024-03-20,1.0013,1.0013,0,0.24%,2025-12-18 16:42:08.486
020602,易方达红利低波ETF联接A,2024-03-21,1.0029,1.0029,0,0.16%,2025-12-18 16:42:08.486
020602,易方达红利低波ETF联接A,2024-03-22,1.0007,1.0007,0,-0.22%,2025-12-18 16:42:08.486
020602,易方达红利低波ETF联接A,2024-03-25,1.0017,1.0017,0,0.10%,2025-12-18 16:42:08.486
020602,易方达红利低波ETF联接A,2024-03-26,1.0024,1.0024,0,0.07%,2025-12-18 16:42:08.486
020602,易方达红利低波ETF联接A,2024-03-27,1.0011,1.0011,0,-0.13%,2025-12-18 16:42:08.486
020602,易方达红利低波ETF联接A,2024-03-28,0.9993,0.9993,0,-0.18%,2025-12-18 16:42:08.135
020602,易方达红利低波ETF联接A,2024-03-29,1.0118,1.0118,0,1.25%,2025-12-18 16:42:08.135
020602,易方达红利低波ETF联接A,2024-04-01,1.0142,1.0142,0,0.24%,2025-12-18 16:42:08.135
020602,易方达红利低波ETF联接A,2024-04-02,1.0202,1.0202,0,0.59%,2025-12-18 16:42:08.135
020602,易方达红利低波ETF联接A,2024-04-03,1.0284,1.0284,0,0.80%,2025-12-18 16:42:08.135
020602,易方达红利低波ETF联接A,2024-04-08,1.0328,1.0328,0,0.43%,2025-12-18 16:42:08.135
020602,易方达红利低波ETF联接A,2024-04-09,1.0268,1.0268,0,-0.58%,2025-12-18 16:42:08.135
020602,易方达红利低波ETF联接A,2024-04-10,1.0293,1.0293,0,0.24%,2025-12-18 16:42:08.135
020602,易方达红利低波ETF联接A,2024-04-11,1.0387,1.0387,0,0.91%,2025-12-18 16:42:08.135
020602,易方达红利低波ETF联接A,2024-04-12,1.0376,1.0376,0,-0.11%,2025-12-18 16:42:08.135
020602,易方达红利低波ETF联接A,2024-04-15,1.0576,1.0576,0,1.93%,2025-12-18 16:42:08.135
020602,易方达红利低波ETF联接A,2024-04-16,1.0566,1.0566,0,-0.09%,2025-12-18 16:42:08.135
020602,易方达红利低波ETF联接A,2024-04-17,1.0765,1.0765,0,1.88%,2025-12-18 16:42:08.135
020602,易方达红利低波ETF联接A,2024-04-18,1.0806,1.0806,0,0.38%,2025-12-18 16:42:08.135
020602,易方达红利低波ETF联接A,2024-04-19,1.0815,1.0815,0,0.08%,2025-12-18 16:42:08.135
020602,易方达红利低波ETF联接A,2024-04-22,1.0608,1.0608,0,-1.91%,2025-12-18 16:42:08.135
020602,易方达红利低波ETF联接A,2024-04-23,1.0460,1.0460,0,-1.40%,2025-12-18 16:42:08.135
020602,易方达红利低波ETF联接A,2024-04-24,1.0437,1.0437,0,-0.22%,2025-12-18 16:42:08.135
020602,易方达红利低波ETF联接A,2024-04-25,1.0509,1.0509,0,0.69%,2025-12-18 16:42:08.134
020602,易方达红利低波ETF联接A,2024-04-26,1.0395,1.0395,0,-1.08%,2025-12-18 16:42:08.134
020602,易方达红利低波ETF联接A,2024-04-29,1.0367,1.0367,0,-0.27%,2025-12-18 16:42:07.561
020602,易方达红利低波ETF联接A,2024-04-30,1.0409,1.0409,0,0.41%,2025-12-18 16:42:07.561
020602,易方达红利低波ETF联接A,2024-05-06,1.0474,1.0474,0,0.62%,2025-12-18 16:42:07.561
020602,易方达红利低波ETF联接A,2024-05-07,1.0484,1.0484,0,0.10%,2025-12-18 16:42:07.561
020602,易方达红利低波ETF联接A,2024-05-08,1.0529,1.0529,0,0.43%,2025-12-18 16:42:07.561
020602,易方达红利低波ETF联接A,2024-05-09,1.0598,1.0598,0,0.66%,2025-12-18 16:42:07.561
020602,易方达红利低波ETF联接A,2024-05-10,1.0652,1.0652,0,0.51%,2025-12-18 16:42:07.561
020602,易方达红利低波ETF联接A,2024-05-13,1.0716,1.0716,0,0.60%,2025-12-18 16:42:07.561
020602,易方达红利低波ETF联接A,2024-05-14,1.0672,1.0672,0,-0.41%,2025-12-18 16:42:07.561
020602,易方达红利低波ETF联接A,2024-05-15,1.0656,1.0656,0,-0.15%,2025-12-18 16:42:07.561
020602,易方达红利低波ETF联接A,2024-05-16,1.0670,1.0670,0,0.13%,2025-12-18 16:42:07.561
020602,易方达红利低波ETF联接A,2024-05-17,1.0745,1.0745,0,0.70%,2025-12-18 16:42:07.561
020602,易方达红利低波ETF联接A,2024-05-20,1.0848,1.0848,0,0.96%,2025-12-18 16:42:07.561
020602,易方达红利低波ETF联接A,2024-05-21,1.0876,1.0876,0,0.26%,2025-12-18 16:42:07.561
020602,易方达红利低波ETF联接A,2024-05-22,1.0853,1.0853,0,-0.21%,2025-12-18 16:42:07.561
020602,易方达红利低波ETF联接A,2024-05-23,1.0747,1.0747,0,-0.98%,2025-12-18 16:42:07.561
020602,易方达红利低波ETF联接A,2024-05-24,1.0738,1.0738,0,-0.08%,2025-12-18 16:42:07.561
020602,易方达红利低波ETF联接A,2024-05-27,1.0912,1.0912,0,1.62%,2025-12-18 16:42:07.561
020602,易方达红利低波ETF联接A,2024-05-28,1.0879,1.0879,0,-0.30%,2025-12-18 16:42:07.561
020602,易方达红利低波ETF联接A,2024-05-29,1.0883,1.0883,0,0.04%,2025-12-18 16:42:07.561
020602,易方达红利低波ETF联接A,2024-05-30,1.0807,1.0807,0,-0.70%,2025-12-18 16:42:07.181
020602,易方达红利低波ETF联接A,2024-05-31,1.0806,1.0806,0,-0.01%,2025-12-18 16:42:07.181
