product_code,product_name,nav_date,nav,total_nav,income,weekly_rate,fetched_at
产品代码,产品名称,净值日期,单位净值,累计净值,日收益,周收益率,采集时间
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-06-23,1.0001,1.0001,0,,2025-12-18 16:45:07.727
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-06-30,1.0001,1.0001,0,,2025-12-18 16:45:07.727
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-07-07,1.0006,1.0006,0,,2025-12-18 16:45:07.727
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-07-10,1.0008,1.0008,0,0.02%,2025-12-18 16:45:07.727
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-07-11,1.0009,1.0009,0,0.01%,2025-12-18 16:45:07.250
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-07-12,1.0008,1.0008,0,-0.01%,2025-12-18 16:45:07.250
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-07-13,1.0008,1.0008,0,0.00%,2025-12-18 16:45:07.250
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-07-14,1.0008,1.0008,0,0.00%,2025-12-18 16:45:07.250
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-07-17,1.0014,1.0014,0,0.06%,2025-12-18 16:45:07.250
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-07-18,1.0019,1.0019,0,0.05%,2025-12-18 16:45:07.250
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-07-19,1.0020,1.0020,0,0.01%,2025-12-18 16:45:07.250
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-07-20,1.0008,1.0008,0,-0.12%,2025-12-18 16:45:07.250
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-07-21,1.0007,1.0007,0,-0.01%,2025-12-18 16:45:07.250
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-07-24,1.0017,1.0017,0,0.10%,2025-12-18 16:45:07.250
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-07-25,1.0015,1.0015,0,-0.02%,2025-12-18 16:45:07.250
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-07-26,1.0028,1.0028,0,0.13%,2025-12-18 16:45:07.250
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-07-27,0.9998,0.9998,0,-0.30%,2025-12-18 16:45:07.250
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-07-28,0.9994,0.9994,0,-0.04%,2025-12-18 16:45:07.250
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-07-31,0.9968,0.9968,0,-0.26%,2025-12-18 16:45:07.250
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-01,0.9970,0.9970,0,0.02%,2025-12-18 16:45:07.250
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-02,0.9987,0.9987,0,0.17%,2025-12-18 16:45:07.250
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-03,0.9972,0.9972,0,-0.15%,2025-12-18 16:45:07.250
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-04,0.9972,0.9972,0,0.00%,2025-12-18 16:45:07.250
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-07,1.0002,1.0002,0,0.30%,2025-12-18 16:45:07.250
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-08,0.9994,0.9994,0,-0.08%,2025-12-18 16:45:06.758
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-09,0.9980,0.9980,0,-0.14%,2025-12-18 16:45:06.758
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-10,0.9833,0.9833,0,-1.47%,2025-12-18 16:45:06.758
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-11,0.9863,0.9863,0,0.31%,2025-12-18 16:45:06.758
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-14,0.9933,0.9933,0,0.71%,2025-12-18 16:45:06.758
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-15,0.9944,0.9944,0,0.11%,2025-12-18 16:45:06.758
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-16,0.9962,0.9962,0,0.18%,2025-12-18 16:45:06.758
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-17,0.9838,0.9838,0,-1.24%,2025-12-18 16:45:06.758
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-18,0.9836,0.9836,0,-0.02%,2025-12-18 16:45:06.758
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-21,0.9827,0.9827,0,-0.09%,2025-12-18 16:45:06.758
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-22,0.9901,0.9901,0,0.75%,2025-12-18 16:45:06.758
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-23,0.9883,0.9883,0,-0.18%,2025-12-18 16:45:06.758
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-24,0.9856,0.9856,0,-0.27%,2025-12-18 16:45:06.757
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-25,0.9849,0.9849,0,-0.07%,2025-12-18 16:45:06.757
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-28,0.9843,0.9843,0,-0.06%,2025-12-18 16:45:06.757
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-29,0.9861,0.9861,0,0.18%,2025-12-18 16:45:06.757
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-30,0.9912,0.9912,0,0.52%,2025-12-18 16:45:06.757
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-08-31,0.9956,0.9956,0,0.44%,2025-12-18 16:45:06.757
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-09-01,0.9945,0.9945,0,-0.11%,2025-12-18 16:45:06.757
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-09-05,0.9833,0.9833,0,,2025-12-18 16:45:06.757
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-09-06,0.9843,0.9843,0,0.10%,2025-12-18 16:45:06.341
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-09-07,0.9855,0.9855,0,0.12%,2025-12-18 16:45:06.341
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-09-08,0.9764,0.9764,0,-0.92%,2025-12-18 16:45:06.341
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-09-11,0.9845,0.9845,0,0.83%,2025-12-18 16:45:06.341
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-09-12,0.9901,0.9901,0,0.57%,2025-12-18 16:45:06.341
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-09-13,0.9925,0.9925,0,0.24%,2025-12-18 16:45:06.341
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-09-14,0.9888,0.9888,0,-0.37%,2025-12-18 16:45:06.341
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-09-15,0.9907,0.9907,0,0.19%,2025-12-18 16:45:06.341
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-09-18,0.9895,0.9895,0,-0.12%,2025-12-18 16:45:06.341
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-09-19,0.9924,0.9924,0,0.29%,2025-12-18 16:45:06.341
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-09-20,0.9917,0.9917,0,-0.07%,2025-12-18 16:45:06.341
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-09-21,0.9885,0.9885,0,-0.32%,2025-12-18 16:45:06.341
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-09-22,0.9879,0.9879,0,-0.06%,2025-12-18 16:45:06.341
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-09-25,0.9789,0.9789,0,-0.91%,2025-12-18 16:45:06.341
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-09-26,0.9829,0.9829,0,0.41%,2025-12-18 16:45:06.341
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-09-27,0.9932,0.9932,0,1.05%,2025-12-18 16:45:06.341
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-09-28,0.9938,0.9938,0,0.06%,2025-12-18 16:45:06.341
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-09-29,1.0022,1.0022,0,0.85%,2025-12-18 16:45:06.341
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-10-09,1.0156,1.0156,0,1.34%,2025-12-18 16:45:06.341
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-10-10,1.0130,1.0130,0,-0.26%,2025-12-18 16:45:06.341
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-10-11,1.0091,1.0091,0,-0.39%,2025-12-18 16:45:06.003
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-10-12,1.0068,1.0068,0,-0.23%,2025-12-18 16:45:06.003
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-10-13,1.0112,1.0112,0,0.44%,2025-12-18 16:45:06.003
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-10-16,1.0141,1.0141,0,0.29%,2025-12-18 16:45:06.003
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-10-17,1.0160,1.0160,0,0.19%,2025-12-18 16:45:06.003
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-10-18,1.0164,1.0164,0,0.04%,2025-12-18 16:45:06.003
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-10-19,1.0145,1.0145,0,-0.19%,2025-12-18 16:45:06.002
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-10-20,1.0170,1.0170,0,0.25%,2025-12-18 16:45:06.002
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-10-23,1.0122,1.0122,0,-0.47%,2025-12-18 16:45:06.002
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-10-24,1.0150,1.0150,0,0.28%,2025-12-18 16:45:06.002
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-10-25,1.0118,1.0118,0,-0.32%,2025-12-18 16:45:06.002
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-10-26,1.0086,1.0086,0,-0.32%,2025-12-18 16:45:06.002
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-10-27,1.0391,1.0391,0,3.02%,2025-12-18 16:45:06.002
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-10-30,1.0415,1.0415,0,0.23%,2025-12-18 16:45:06.002
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-10-31,1.0434,1.0434,0,0.18%,2025-12-18 16:45:06.002
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-01,1.0417,1.0417,0,-0.16%,2025-12-18 16:45:06.002
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-02,1.0378,1.0378,0,-0.37%,2025-12-18 16:45:06.002
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-03,1.0448,1.0448,0,0.67%,2025-12-18 16:45:06.002
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-06,1.0510,1.0510,0,0.59%,2025-12-18 16:45:06.002
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-07,1.0516,1.0516,0,0.06%,2025-12-18 16:45:06.002
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-08,1.0565,1.0565,0,0.47%,2025-12-18 16:45:05.627
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-09,1.0520,1.0520,0,-0.43%,2025-12-18 16:45:05.627
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-10,1.0512,1.0512,0,-0.08%,2025-12-18 16:45:05.627
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-13,1.0533,1.0533,0,0.20%,2025-12-18 16:45:05.627
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-14,1.0505,1.0505,0,-0.27%,2025-12-18 16:45:05.627
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-15,1.0431,1.0431,0,-0.70%,2025-12-18 16:45:05.627
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-16,1.0564,1.0564,0,1.28%,2025-12-18 16:45:05.627
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-17,1.0524,1.0524,0,-0.38%,2025-12-18 16:45:05.627
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-20,1.0512,1.0512,0,-0.11%,2025-12-18 16:45:05.627
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-21,1.0636,1.0636,0,1.18%,2025-12-18 16:45:05.627
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-22,1.0638,1.0638,0,0.02%,2025-12-18 16:45:05.627
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-24,1.0595,1.0595,0,,2025-12-18 16:45:05.627
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-27,1.0598,1.0598,0,0.03%,2025-12-18 16:45:05.627
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-28,1.0637,1.0637,0,0.37%,2025-12-18 16:45:05.627
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-29,1.0474,1.0474,0,-1.53%,2025-12-18 16:45:05.627
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-11-30,1.0563,1.0563,0,0.85%,2025-12-18 16:45:05.627
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-01,1.0525,1.0525,0,-0.36%,2025-12-18 16:45:05.627
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-04,1.0413,1.0413,0,-1.06%,2025-12-18 16:45:05.627
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-05,1.0416,1.0416,0,0.03%,2025-12-18 16:45:05.627
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-06,1.0466,1.0466,0,0.48%,2025-12-18 16:45:05.627
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-07,1.0508,1.0508,0,0.40%,2025-12-18 16:45:05.252
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-08,1.0556,1.0556,0,0.46%,2025-12-18 16:45:05.252
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-11,1.0623,1.0623,0,0.63%,2025-12-18 16:45:05.252
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-12,1.0608,1.0608,0,-0.14%,2025-12-18 16:45:05.252
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-13,1.0639,1.0639,0,0.29%,2025-12-18 16:45:05.252
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-14,1.0597,1.0597,0,-0.39%,2025-12-18 16:45:05.252
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-15,1.0730,1.0730,0,1.26%,2025-12-18 16:45:05.252
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-18,1.0811,1.0811,0,0.75%,2025-12-18 16:45:05.252
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-19,1.0749,1.0749,0,-0.57%,2025-12-18 16:45:05.252
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-20,1.0731,1.0731,0,-0.17%,2025-12-18 16:45:05.252
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-21,1.0686,1.0686,0,-0.42%,2025-12-18 16:45:05.252
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-22,1.0677,1.0677,0,-0.08%,2025-12-18 16:45:05.252
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-26,1.0561,1.0561,0,,2025-12-18 16:45:05.252
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-27,1.0564,1.0564,0,0.03%,2025-12-18 16:45:05.252
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-28,1.0573,1.0573,0,0.09%,2025-12-18 16:45:05.252
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-29,1.0491,1.0491,0,-0.78%,2025-12-18 16:45:05.252
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2017-12-31,1.0481,1.0481,0,,2025-12-18 16:45:05.252
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-02,1.0617,1.0617,0,1.20%,2025-12-18 16:45:05.252
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-03,1.0691,1.0691,0,0.70%,2025-12-18 16:45:05.252
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-04,1.0726,1.0726,0,0.33%,2025-12-18 16:45:05.251
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-05,1.0809,1.0809,0,0.77%,2025-12-18 16:45:04.899
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-08,1.0829,1.0829,0,0.19%,2025-12-18 16:45:04.898
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-09,1.0854,1.0854,0,0.23%,2025-12-18 16:45:04.898
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-10,1.0871,1.0871,0,0.16%,2025-12-18 16:45:04.898
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-11,1.0930,1.0930,0,0.54%,2025-12-18 16:45:04.898
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-12,1.0969,1.0969,0,0.36%,2025-12-18 16:45:04.898
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-16,1.0838,1.0838,0,,2025-12-18 16:45:04.898
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-17,1.0944,1.0944,0,0.98%,2025-12-18 16:45:04.898
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-18,1.0956,1.0956,0,0.11%,2025-12-18 16:45:04.898
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-19,1.0951,1.0951,0,-0.05%,2025-12-18 16:45:04.898
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-22,1.1049,1.1049,0,0.89%,2025-12-18 16:45:04.898
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-23,1.1116,1.1116,0,0.61%,2025-12-18 16:45:04.898
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-24,1.1033,1.1033,0,-0.75%,2025-12-18 16:45:04.898
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-25,1.0994,1.0994,0,-0.35%,2025-12-18 16:45:04.898
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-26,1.1103,1.1103,0,0.99%,2025-12-18 16:45:04.898
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-29,1.1020,1.1020,0,-0.75%,2025-12-18 16:45:04.898
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-30,1.0943,1.0943,0,-0.70%,2025-12-18 16:45:04.898
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-01-31,1.0975,1.0975,0,0.29%,2025-12-18 16:45:04.898
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-02-01,1.0853,1.0853,0,-1.11%,2025-12-18 16:45:04.898
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-02-02,1.0615,1.0615,0,-2.19%,2025-12-18 16:45:04.898
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-02-05,1.0243,1.0243,0,-3.50%,2025-12-18 16:45:04.535
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-02-06,1.0507,1.0507,0,2.58%,2025-12-18 16:45:04.535
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-02-07,1.0346,1.0346,0,-1.53%,2025-12-18 16:45:04.535
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-02-08,0.9923,0.9923,0,-4.09%,2025-12-18 16:45:04.535
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-02-09,1.0146,1.0146,0,2.25%,2025-12-18 16:45:04.534
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-02-12,1.0281,1.0281,0,1.33%,2025-12-18 16:45:04.534
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-02-13,1.0367,1.0367,0,0.84%,2025-12-18 16:45:04.534
161130,易方达纳斯达克100ETF联接(QDII-LOF)A,2018-02-14,1.0582,1.0582,0,2.07%,2025-12-18 16:45:04.534
