product_code,product_name,nav_date,nav,total_nav,income,weekly_rate,fetched_at
产品代码,产品名称,净值日期,单位净值,累计净值,日收益,周收益率,采集时间
163406,兴全合润混合(LOF)A,2025-07-01,1.5994,6.0825,0,0.70%,2025-12-18 02:47:40.960
163406,兴全合润混合(LOF)A,2025-07-02,1.5828,6.0194,0,-1.04%,2025-12-18 02:47:40.960
163406,兴全合润混合(LOF)A,2025-07-03,1.6120,6.1305,0,1.84%,2025-12-18 02:47:40.960
163406,兴全合润混合(LOF)A,2025-07-04,1.6094,6.1206,0,-0.16%,2025-12-18 02:47:40.960
163406,兴全合润混合(LOF)A,2025-07-07,1.6026,6.0947,0,-0.42%,2025-12-18 02:47:40.960
163406,兴全合润混合(LOF)A,2025-07-08,1.6177,6.1521,0,0.94%,2025-12-18 02:47:40.960
163406,兴全合润混合(LOF)A,2025-07-09,1.6075,6.1133,0,-0.63%,2025-12-18 02:47:40.960
163406,兴全合润混合(LOF)A,2025-07-10,1.6018,6.0917,0,-0.35%,2025-12-18 02:47:40.960
163406,兴全合润混合(LOF)A,2025-07-11,1.6085,6.1171,0,0.42%,2025-12-18 02:47:40.960
163406,兴全合润混合(LOF)A,2025-07-14,1.6071,6.1118,0,-0.09%,2025-12-18 02:47:40.960
163406,兴全合润混合(LOF)A,2025-07-15,1.6084,6.1168,0,0.08%,2025-12-18 02:47:40.960
163406,兴全合润混合(LOF)A,2025-07-16,1.6099,6.1225,0,0.09%,2025-12-18 02:47:40.960
163406,兴全合润混合(LOF)A,2025-07-17,1.6274,6.1890,0,1.09%,2025-12-18 02:47:40.960
163406,兴全合润混合(LOF)A,2025-07-18,1.6324,6.2080,0,0.31%,2025-12-18 02:47:40.960
163406,兴全合润混合(LOF)A,2025-07-21,1.6508,6.2780,0,1.13%,2025-12-18 02:47:40.960
163406,兴全合润混合(LOF)A,2025-07-22,1.6529,6.2860,0,0.13%,2025-12-18 02:47:40.960
163406,兴全合润混合(LOF)A,2025-07-23,1.6508,6.2780,0,-0.13%,2025-12-18 02:47:40.825
163406,兴全合润混合(LOF)A,2025-07-24,1.6612,6.3176,0,0.63%,2025-12-18 02:47:40.825
163406,兴全合润混合(LOF)A,2025-07-25,1.6623,6.3218,0,0.07%,2025-12-18 02:47:40.825
163406,兴全合润混合(LOF)A,2025-07-28,1.6655,6.3339,0,0.19%,2025-12-18 02:47:40.825
163406,兴全合润混合(LOF)A,2025-07-29,1.6790,6.3853,0,0.81%,2025-12-18 02:47:40.825
163406,兴全合润混合(LOF)A,2025-07-30,1.6780,6.3815,0,-0.06%,2025-12-18 02:47:40.825
163406,兴全合润混合(LOF)A,2025-07-31,1.6552,6.2947,0,-1.36%,2025-12-18 02:47:40.825
163406,兴全合润混合(LOF)A,2025-08-01,1.6501,6.2754,0,-0.31%,2025-12-18 02:47:40.825
163406,兴全合润混合(LOF)A,2025-08-04,1.6562,6.2986,0,0.37%,2025-12-18 02:47:40.825
163406,兴全合润混合(LOF)A,2025-08-05,1.6671,6.3400,0,0.66%,2025-12-18 02:47:40.825
163406,兴全合润混合(LOF)A,2025-08-06,1.6723,6.3598,0,0.31%,2025-12-18 02:47:40.825
163406,兴全合润混合(LOF)A,2025-08-07,1.6725,6.3605,0,0.01%,2025-12-18 02:47:40.825
163406,兴全合润混合(LOF)A,2025-08-08,1.6688,6.3465,0,-0.22%,2025-12-18 02:47:40.825
163406,兴全合润混合(LOF)A,2025-08-11,1.6953,6.4472,0,1.59%,2025-12-18 02:47:40.825
163406,兴全合润混合(LOF)A,2025-08-12,1.6972,6.4545,0,0.11%,2025-12-18 02:47:40.825
163406,兴全合润混合(LOF)A,2025-08-13,1.7295,6.5773,0,1.90%,2025-12-18 02:47:40.825
163406,兴全合润混合(LOF)A,2025-08-14,1.7180,6.5336,0,-0.66%,2025-12-18 02:47:40.825
163406,兴全合润混合(LOF)A,2025-08-15,1.7394,6.6150,0,1.25%,2025-12-18 02:47:40.825
163406,兴全合润混合(LOF)A,2025-08-18,1.7698,6.7306,0,1.75%,2025-12-18 02:47:40.825
163406,兴全合润混合(LOF)A,2025-08-19,1.7688,6.7268,0,-0.06%,2025-12-18 02:47:40.825
163406,兴全合润混合(LOF)A,2025-08-20,1.7892,6.8044,0,1.15%,2025-12-18 02:47:40.595
163406,兴全合润混合(LOF)A,2025-08-21,1.7974,6.8355,0,0.46%,2025-12-18 02:47:40.595
163406,兴全合润混合(LOF)A,2025-08-22,1.8409,7.0010,0,2.42%,2025-12-18 02:47:40.595
163406,兴全合润混合(LOF)A,2025-08-25,1.8899,7.1873,0,2.66%,2025-12-18 02:47:40.595
163406,兴全合润混合(LOF)A,2025-08-26,1.8897,7.1866,0,-0.01%,2025-12-18 02:47:40.595
163406,兴全合润混合(LOF)A,2025-08-27,1.8806,7.1519,0,-0.48%,2025-12-18 02:47:40.595
163406,兴全合润混合(LOF)A,2025-08-28,1.9436,7.3915,0,3.35%,2025-12-18 02:47:40.595
163406,兴全合润混合(LOF)A,2025-08-29,1.9704,7.4935,0,1.38%,2025-12-18 02:47:40.595
163406,兴全合润混合(LOF)A,2025-09-01,1.9998,7.6053,0,1.49%,2025-12-18 02:47:40.595
163406,兴全合润混合(LOF)A,2025-09-02,1.9468,7.4037,0,-2.65%,2025-12-18 02:47:40.595
163406,兴全合润混合(LOF)A,2025-09-03,1.9471,7.4048,0,0.02%,2025-12-18 02:47:40.595
