date,nav,units,fund_value,cash,total_value,total_cost,unrealized_pnl,unrealized_pnl_pct,buy_cash,sell_cash,buy_units,sell_units,note
2020-12-09,1.8893,1057.3243,1997.60,0.00,1997.60,2000.00,-2.40,-0.0012,2000.00,0.00,1057.3243,0.0000,首日建仓：一次性买入 2000.00 元
2020-12-10,1.8920,1057.3243,2000.46,0.00,2000.46,2000.00,0.46,0.0002,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-11,1.8812,1057.3243,1989.04,0.00,1989.04,2000.00,-10.96,-0.0055,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-14,1.9014,1057.3243,2010.40,0.00,2010.40,2000.00,10.40,0.0052,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-15,1.9151,1057.3243,2024.88,0.00,2024.88,2000.00,24.88,0.0124,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-16,1.9181,1057.3243,2028.05,0.00,2028.05,2000.00,28.05,0.0140,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-17,1.9240,1057.3243,2034.29,0.00,2034.29,2000.00,34.29,0.0171,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-18,1.9105,1057.3243,2020.02,0.00,2020.02,2000.00,20.02,0.0100,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-21,1.9434,1057.3243,2054.80,0.00,2054.80,2000.00,54.80,0.0274,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-22,1.9205,1057.3243,2030.59,0.00,2030.59,2000.00,30.59,0.0153,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-23,1.9401,1057.3243,2051.31,0.00,2051.31,2000.00,51.31,0.0257,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-24,1.9279,1057.3243,2038.42,0.00,2038.42,2000.00,38.42,0.0192,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-25,1.9455,1057.3243,2057.02,0.00,2057.02,2000.00,57.02,0.0285,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-28,1.9456,1057.3243,2057.13,0.00,2057.13,2000.00,57.13,0.0286,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
