date,nav,units,fund_value,cash,total_value,total_cost,unrealized_pnl,unrealized_pnl_pct,buy_cash,sell_cash,buy_units,sell_units,note
2020-12-01,1.9006,1051.0380,1997.60,0.00,1997.60,2000.00,-2.40,-0.0012,2000.00,0.00,1051.0380,0.0000,首日建仓：一次性买入 2000.00 元
2020-12-02,1.8994,1051.0380,1996.34,0.00,1996.34,2000.00,-3.66,-0.0018,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-03,1.9027,1051.0380,1999.81,0.00,1999.81,2000.00,-0.19,-0.0001,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-04,1.9166,1051.0380,2014.42,0.00,2014.42,2000.00,14.42,0.0072,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-07,1.9106,1051.0380,2008.11,0.00,2008.11,2000.00,8.11,0.0041,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-08,1.9122,1051.0380,2009.79,0.00,2009.79,2000.00,9.79,0.0049,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-09,1.8893,1051.0380,1985.73,0.00,1985.73,2000.00,-14.27,-0.0071,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-10,1.8920,1051.0380,1988.56,0.00,1988.56,2000.00,-11.44,-0.0057,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-11,1.8812,1051.0380,1977.21,0.00,1977.21,2000.00,-22.79,-0.0114,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-14,1.9014,1051.0380,1998.44,0.00,1998.44,2000.00,-1.56,-0.0008,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-15,1.9151,1051.0380,2012.84,0.00,2012.84,2000.00,12.84,0.0064,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-16,1.9181,1051.0380,2016.00,0.00,2016.00,2000.00,16.00,0.0080,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-17,1.9240,1051.0380,2022.20,0.00,2022.20,2000.00,22.20,0.0111,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-18,1.9105,1051.0380,2008.01,0.00,2008.01,2000.00,8.01,0.0040,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-21,1.9434,1051.0380,2042.59,0.00,2042.59,2000.00,42.59,0.0213,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-22,1.9205,1051.0380,2018.52,0.00,2018.52,2000.00,18.52,0.0093,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-23,1.9401,1051.0380,2039.12,0.00,2039.12,2000.00,39.12,0.0196,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-24,1.9279,1051.0380,2026.30,0.00,2026.30,2000.00,26.30,0.0131,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-25,1.9455,1051.0380,2044.79,0.00,2044.79,2000.00,44.79,0.0224,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-28,1.9456,1051.0380,2044.90,0.00,2044.90,2000.00,44.90,0.0224,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-29,1.9411,1051.0380,2040.17,0.00,2040.17,2000.00,40.17,0.0201,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-30,1.9616,1051.0380,2061.72,0.00,2061.72,2000.00,61.72,0.0309,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2020-12-31,1.9970,1051.0380,2098.92,0.00,2098.92,2000.00,98.92,0.0495,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2021-01-04,2.0203,1272.8315,2571.50,51.37,2622.87,2448.63,174.25,0.0712,448.63,0.00,221.7935,0.0000,"[定投日] NAV=2.0203, MA250=1.9216, 偏离度=5.14%, 原始因子=0.90, 生效因子=0.90；计划买入 448.63 元，实际买入 448.63 元，资金池剩余 51.37 元"
2021-01-05,2.0738,1272.8315,2639.60,51.37,2690.97,2448.63,242.34,0.0990,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.0738, MA250=1.9257, 偏离度=7.69%, 原始因子=0.85；估值未到低估区，不动用资金池"
2021-01-06,2.0765,1272.8315,2643.03,51.37,2694.41,2448.63,245.78,0.1004,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.0765, MA250=1.9316, 偏离度=7.50%, 原始因子=0.85；估值未到低估区，不动用资金池"
2021-01-07,2.1158,1272.8315,2693.06,51.37,2744.43,2448.63,295.80,0.1208,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.1158, MA250=1.9372, 偏离度=9.22%, 原始因子=0.82；估值未到低估区，不动用资金池"
2021-01-08,2.1221,1272.8315,2701.08,51.37,2752.45,2448.63,303.82,0.1241,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.1221, MA250=1.9438, 偏离度=9.17%, 原始因子=0.82；估值未到低估区，不动用资金池"
2021-01-11,2.1197,1272.8315,2698.02,51.37,2749.39,2448.63,300.77,0.1228,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.1197, MA250=1.9502, 偏离度=8.69%, 原始因子=0.83；估值未到低估区，不动用资金池"
2021-01-12,2.1673,1272.8315,2758.61,51.37,2809.98,2448.63,361.35,0.1476,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.1673, MA250=1.9560, 偏离度=10.80%, 原始因子=0.78；估值未到低估区，不动用资金池"
2021-01-13,2.1507,1272.8315,2737.48,51.37,2788.85,2448.63,340.22,0.1389,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.1507, MA250=1.9631, 偏离度=9.56%, 原始因子=0.81；估值未到低估区，不动用资金池"
2021-01-14,2.1102,1272.8315,2685.93,51.37,2737.30,2448.63,288.67,0.1179,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.1102, MA250=1.9691, 偏离度=7.16%, 原始因子=0.86；估值未到低估区，不动用资金池"
2021-01-15,2.1132,1272.8315,2689.75,51.37,2741.12,2448.63,292.49,0.1195,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.1132, MA250=1.9735, 偏离度=7.08%, 原始因子=0.86；估值未到低估区，不动用资金池"
2021-01-18,2.1386,1272.8315,2722.08,51.37,2773.45,2448.63,324.82,0.1327,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.1386, MA250=1.9778, 偏离度=8.13%, 原始因子=0.84；估值未到低估区，不动用资金池"
2021-01-19,2.1105,1272.8315,2686.31,51.37,2737.68,2448.63,289.06,0.1180,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.1105, MA250=1.9825, 偏离度=6.46%, 原始因子=0.87；估值未到低估区，不动用资金池"
2021-01-20,2.1314,1272.8315,2712.91,51.37,2764.29,2448.63,315.66,0.1289,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.1314, MA250=1.9861, 偏离度=7.31%, 原始因子=0.85；估值未到低估区，不动用资金池"
2021-01-21,2.1714,1272.8315,2763.83,51.37,2815.20,2448.63,366.57,0.1497,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.1714, MA250=1.9902, 偏离度=9.11%, 原始因子=0.82；估值未到低估区，不动用资金池"
2021-01-22,2.1867,1272.8315,2783.30,51.37,2834.67,2448.63,386.05,0.1577,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.1867, MA250=1.9951, 偏离度=9.60%, 原始因子=0.81；估值未到低估区，不动用资金池"
