date,nav,units,fund_value,cash,total_value,total_cost,unrealized_pnl,unrealized_pnl_pct,buy_cash,sell_cash,buy_units,sell_units,note
2020-01-02,1.1681,1709.6177,1997.00,0.00,1997.00,2000.00,-3.00,-0.0015,2000.00,0.00,1709.6177,0.0000,新月份 2020-1：现金流入 2000 元（进入现金池，等待策略使用）; 首次建仓：使用现金池全部资金买入 2000 元
2020-01-03,1.1698,1709.6177,1999.91,0.00,1999.91,2000.00,-0.09,-0.0000,0.00,0.00,0.0000,0.0000,
2020-01-06,1.1707,1709.6177,2001.45,0.00,2001.45,2000.00,1.45,0.0007,0.00,0.00,0.0000,0.0000,
2020-01-07,1.1852,1709.6177,2026.24,0.00,2026.24,2000.00,26.24,0.0131,0.00,0.00,0.0000,0.0000,
2020-01-08,1.1746,1709.6177,2008.12,0.00,2008.12,2000.00,8.12,0.0041,0.00,0.00,0.0000,0.0000,
2020-01-09,1.1974,1709.6177,2047.10,0.00,2047.10,2000.00,47.10,0.0235,0.00,0.00,0.0000,0.0000,
2020-01-10,1.1974,1709.6177,2047.10,0.00,2047.10,2000.00,47.10,0.0235,0.00,0.00,0.0000,0.0000,
2020-01-13,1.2152,1709.6177,2077.53,0.00,2077.53,2000.00,77.53,0.0388,0.00,0.00,0.0000,0.0000,
2020-01-14,1.2121,1709.6177,2072.23,0.00,2072.23,2000.00,72.23,0.0361,0.00,0.00,0.0000,0.0000,
2020-01-15,1.2114,1709.6177,2071.03,0.00,2071.03,2000.00,71.03,0.0355,0.00,0.00,0.0000,0.0000,
2020-01-16,1.2135,1709.6177,2074.62,0.00,2074.62,2000.00,74.62,0.0373,0.00,0.00,0.0000,0.0000,
2020-01-17,1.2177,1709.6177,2081.80,0.00,2081.80,2000.00,81.80,0.0409,0.00,0.00,0.0000,0.0000,
2020-01-20,1.2307,1709.6177,2104.03,0.00,2104.03,2000.00,104.03,0.0520,0.00,0.00,0.0000,0.0000,
2020-01-21,1.2222,1709.6177,2089.49,0.00,2089.49,2000.00,89.49,0.0447,0.00,0.00,0.0000,0.0000,
2020-01-22,1.2313,1709.6177,2105.05,0.00,2105.05,2000.00,105.05,0.0525,0.00,0.00,0.0000,0.0000,
2020-01-23,1.1972,1709.6177,2046.75,0.00,2046.75,2000.00,46.75,0.0234,0.00,0.00,0.0000,0.0000,
2020-02-03,1.1166,1709.6177,1908.96,500.00,2408.96,2000.00,408.96,0.2045,0.00,0.00,0.0000,0.0000,新月份 2020-2：现金流入 500 元（进入现金池，等待策略使用）
2020-02-04,1.1694,1709.6177,1999.23,500.00,2499.23,2000.00,499.23,0.2496,0.00,0.00,0.0000,0.0000,
