date,nav,units,fund_value,cash,total_value,total_cost,unrealized_pnl,unrealized_pnl_pct,buy_cash,sell_cash,buy_units,sell_units,note
2020-12-09,1.8893,951.5919,1797.84,200.00,1997.84,1800.00,197.84,0.1099,1800.00,0.00,951.5919,0.0000,"预投入划入: 200.00 元 -> 锁定池 (pre_invest_locked=200.00); 常规买入: 使用未锁定现金 1800.00 元 (cash_pool=2000.00, locked=200.00)"
2020-12-10,1.8920,951.5919,1800.41,200.00,2000.41,1800.00,200.41,0.1113,0.00,0.00,0.0000,0.0000,"净值创新高: nav=1.8920, last_peak_nav=1.8920"
2020-12-11,1.8812,951.5919,1790.13,200.00,1990.13,1800.00,190.13,0.1056,0.00,0.00,0.0000,0.0000,
2020-12-14,1.9014,951.5919,1809.36,200.00,2009.36,1800.00,209.36,0.1163,0.00,0.00,0.0000,0.0000,"净值创新高: nav=1.9014, last_peak_nav=1.9014"
2020-12-15,1.9151,951.5919,1822.39,200.00,2022.39,1800.00,222.39,0.1236,0.00,0.00,0.0000,0.0000,"净值创新高: nav=1.9151, last_peak_nav=1.9151"
2020-12-16,1.9181,951.5919,1825.25,200.00,2025.25,1800.00,225.25,0.1251,0.00,0.00,0.0000,0.0000,"净值创新高: nav=1.9181, last_peak_nav=1.9181"
2020-12-17,1.9240,951.5919,1830.86,200.00,2030.86,1800.00,230.86,0.1283,0.00,0.00,0.0000,0.0000,"净值创新高: nav=1.9240, last_peak_nav=1.9240"
2020-12-18,1.9105,951.5919,1818.02,200.00,2018.02,1800.00,218.02,0.1211,0.00,0.00,0.0000,0.0000,
2020-12-21,1.9434,951.5919,1849.32,200.00,2049.32,1800.00,249.32,0.1385,0.00,0.00,0.0000,0.0000,"净值创新高: nav=1.9434, last_peak_nav=1.9434"
2020-12-22,1.9205,951.5919,1827.53,200.00,2027.53,1800.00,227.53,0.1264,0.00,0.00,0.0000,0.0000,
2020-12-23,1.9401,951.5919,1846.18,200.00,2046.18,1800.00,246.18,0.1368,0.00,0.00,0.0000,0.0000,
2020-12-24,1.9279,951.5919,1834.57,200.00,2034.57,1800.00,234.57,0.1303,0.00,0.00,0.0000,0.0000,
2020-12-25,1.9455,951.5919,1851.32,200.00,2051.32,1800.00,251.32,0.1396,0.00,0.00,0.0000,0.0000,"净值创新高: nav=1.9455, last_peak_nav=1.9455"
2020-12-28,1.9456,951.5919,1851.42,200.00,2051.42,1800.00,251.42,0.1397,0.00,0.00,0.0000,0.0000,"净值创新高: nav=1.9456, last_peak_nav=1.9456"
2020-12-29,1.9411,951.5919,1847.14,200.00,2047.14,1800.00,247.14,0.1373,0.00,0.00,0.0000,0.0000,
2020-12-30,1.9616,951.5919,1866.64,200.00,2066.64,1800.00,266.64,0.1481,0.00,0.00,0.0000,0.0000,"净值创新高: nav=1.9616, last_peak_nav=1.9616"
