date,nav,units,fund_value,cash,total_value,total_cost,unrealized_pnl,unrealized_pnl_pct,buy_cash,sell_cash,buy_units,sell_units,note
2020-12-01,1.9006,945.9342,1797.84,200.00,1997.84,1800.00,197.84,0.1099,1800.00,0.00,945.9342,0.0000,"预投入划入: 200.00 元 -> 锁定池 (pre_invest_locked=200.00); 常规买入: 使用未锁定现金 1800.00 元 (cash_pool=2000.00, locked=200.00)"
2020-12-02,1.8994,945.9342,1796.71,200.00,1996.71,1800.00,196.71,0.1093,0.00,0.00,0.0000,0.0000,
2020-12-03,1.9027,945.9342,1799.83,200.00,1999.83,1800.00,199.83,0.1110,0.00,0.00,0.0000,0.0000,"净值创新高: nav=1.9027, last_peak_nav=1.9027"
2020-12-04,1.9166,945.9342,1812.98,200.00,2012.98,1800.00,212.98,0.1183,0.00,0.00,0.0000,0.0000,"净值创新高: nav=1.9166, last_peak_nav=1.9166"
2020-12-07,1.9106,945.9342,1807.30,200.00,2007.30,1800.00,207.30,0.1152,0.00,0.00,0.0000,0.0000,
2020-12-08,1.9122,945.9342,1808.82,200.00,2008.82,1800.00,208.82,0.1160,0.00,0.00,0.0000,0.0000,
2020-12-09,1.8893,945.9342,1787.15,200.00,1987.15,1800.00,187.15,0.1040,0.00,0.00,0.0000,0.0000,
2020-12-10,1.8920,945.9342,1789.71,200.00,1989.71,1800.00,189.71,0.1054,0.00,0.00,0.0000,0.0000,
2020-12-11,1.8812,945.9342,1779.49,200.00,1979.49,1800.00,179.49,0.0997,0.00,0.00,0.0000,0.0000,
2020-12-14,1.9014,945.9342,1798.60,200.00,1998.60,1800.00,198.60,0.1103,0.00,0.00,0.0000,0.0000,
2020-12-15,1.9151,945.9342,1811.56,200.00,2011.56,1800.00,211.56,0.1175,0.00,0.00,0.0000,0.0000,
2020-12-16,1.9181,945.9342,1814.40,200.00,2014.40,1800.00,214.40,0.1191,0.00,0.00,0.0000,0.0000,"净值创新高: nav=1.9181, last_peak_nav=1.9181"
2020-12-17,1.9240,945.9342,1819.98,200.00,2019.98,1800.00,219.98,0.1222,0.00,0.00,0.0000,0.0000,"净值创新高: nav=1.9240, last_peak_nav=1.9240"
2020-12-18,1.9105,945.9342,1807.21,200.00,2007.21,1800.00,207.21,0.1151,0.00,0.00,0.0000,0.0000,
2020-12-21,1.9434,945.9342,1838.33,200.00,2038.33,1800.00,238.33,0.1324,0.00,0.00,0.0000,0.0000,"净值创新高: nav=1.9434, last_peak_nav=1.9434"
2020-12-22,1.9205,945.9342,1816.67,200.00,2016.67,1800.00,216.67,0.1204,0.00,0.00,0.0000,0.0000,
2020-12-23,1.9401,945.9342,1835.21,200.00,2035.21,1800.00,235.21,0.1307,0.00,0.00,0.0000,0.0000,
2020-12-24,1.9279,945.9342,1823.67,200.00,2023.67,1800.00,223.67,0.1243,0.00,0.00,0.0000,0.0000,
2020-12-25,1.9455,945.9342,1840.32,200.00,2040.32,1800.00,240.32,0.1335,0.00,0.00,0.0000,0.0000,"净值创新高: nav=1.9455, last_peak_nav=1.9455"
2020-12-28,1.9456,945.9342,1840.41,200.00,2040.41,1800.00,240.41,0.1336,0.00,0.00,0.0000,0.0000,"净值创新高: nav=1.9456, last_peak_nav=1.9456"
2020-12-29,1.9411,945.9342,1836.15,200.00,2036.15,1800.00,236.15,0.1312,0.00,0.00,0.0000,0.0000,
2020-12-30,1.9616,945.9342,1855.54,200.00,2055.54,1800.00,255.54,0.1420,0.00,0.00,0.0000,0.0000,"净值创新高: nav=1.9616, last_peak_nav=1.9616"
2020-12-31,1.9970,945.9342,1889.03,200.00,2089.03,1800.00,289.03,0.1606,0.00,0.00,0.0000,0.0000,"净值创新高: nav=1.9970, last_peak_nav=1.9970"
2021-01-04,2.0203,1168.4065,2360.53,250.00,2610.53,2250.00,360.53,0.1602,450.00,0.00,222.4722,0.0000,"预投入划入: 50.00 元 -> 锁定池 (pre_invest_locked=250.00); 净值创新高: nav=2.0203, last_peak_nav=2.0203; 常规买入: 使用未锁定现金 450.00 元 (cash_pool=700.00, locked=250.00)"
2021-01-05,2.0738,1168.4065,2423.04,250.00,2673.04,2250.00,423.04,0.1880,0.00,0.00,0.0000,0.0000,"净值创新高: nav=2.0738, last_peak_nav=2.0738"
2021-01-06,2.0765,1168.4065,2426.20,250.00,2676.20,2250.00,426.20,0.1894,0.00,0.00,0.0000,0.0000,"净值创新高: nav=2.0765, last_peak_nav=2.0765"
2021-01-07,2.1158,1168.4065,2472.11,250.00,2722.11,2250.00,472.11,0.2098,0.00,0.00,0.0000,0.0000,"净值创新高: nav=2.1158, last_peak_nav=2.1158"
2021-01-08,2.1221,1168.4065,2479.48,250.00,2729.48,2250.00,479.48,0.2131,0.00,0.00,0.0000,0.0000,"净值创新高: nav=2.1221, last_peak_nav=2.1221"
2021-01-11,2.1197,1168.4065,2476.67,250.00,2726.67,2250.00,476.67,0.2119,0.00,0.00,0.0000,0.0000,
2021-01-12,2.1673,1168.4065,2532.29,250.00,2782.29,2250.00,532.29,0.2366,0.00,0.00,0.0000,0.0000,"净值创新高: nav=2.1673, last_peak_nav=2.1673"
2021-01-13,2.1507,1168.4065,2512.89,250.00,2762.89,2250.00,512.89,0.2280,0.00,0.00,0.0000,0.0000,
2021-01-14,2.1102,1168.4065,2465.57,250.00,2715.57,2250.00,465.57,0.2069,0.00,0.00,0.0000,0.0000,
2021-01-15,2.1132,1168.4065,2469.08,250.00,2719.08,2250.00,469.08,0.2085,0.00,0.00,0.0000,0.0000,
2021-01-18,2.1386,1168.4065,2498.75,250.00,2748.75,2250.00,498.75,0.2217,0.00,0.00,0.0000,0.0000,
2021-01-19,2.1105,1168.4065,2465.92,250.00,2715.92,2250.00,465.92,0.2071,0.00,0.00,0.0000,0.0000,
2021-01-20,2.1314,1168.4065,2490.34,250.00,2740.34,2250.00,490.34,0.2179,0.00,0.00,0.0000,0.0000,
