date,nav,units,fund_value,cash,total_value,total_cost,unrealized_pnl,unrealized_pnl_pct,buy_cash,sell_cash,buy_units,sell_units,note
2020-12-09,1.8893,1057.3243,1997.60,0.00,1997.60,2000.00,-2.40,-0.0012,2000.00,0.00,1057.3243,0.0000,首日建仓: 全额买入 2000.00 元
2020-12-10,1.8920,1057.3243,2000.46,0.00,2000.46,2000.00,0.46,0.0002,0.00,0.00,0.0000,0.0000,
2020-12-11,1.8812,1057.3243,1989.04,0.00,1989.04,2000.00,-10.96,-0.0055,0.00,0.00,0.0000,0.0000,
2020-12-14,1.9014,1057.3243,2010.40,0.00,2010.40,2000.00,10.40,0.0052,0.00,0.00,0.0000,0.0000,
2020-12-15,1.9151,1057.3243,2024.88,0.00,2024.88,2000.00,24.88,0.0124,0.00,0.00,0.0000,0.0000,
2020-12-16,1.9181,1057.3243,2028.05,0.00,2028.05,2000.00,28.05,0.0140,0.00,0.00,0.0000,0.0000,
2020-12-17,1.9240,1057.3243,2034.29,0.00,2034.29,2000.00,34.29,0.0171,0.00,0.00,0.0000,0.0000,
2020-12-18,1.9105,1057.3243,2020.02,0.00,2020.02,2000.00,20.02,0.0100,0.00,0.00,0.0000,0.0000,
2020-12-21,1.9434,1057.3243,2054.80,0.00,2054.80,2000.00,54.80,0.0274,0.00,0.00,0.0000,0.0000,
2020-12-22,1.9205,1057.3243,2030.59,0.00,2030.59,2000.00,30.59,0.0153,0.00,0.00,0.0000,0.0000,
2020-12-23,1.9401,1057.3243,2051.31,0.00,2051.31,2000.00,51.31,0.0257,0.00,0.00,0.0000,0.0000,
2020-12-24,1.9279,1057.3243,2038.42,0.00,2038.42,2000.00,38.42,0.0192,0.00,0.00,0.0000,0.0000,
2020-12-25,1.9455,1057.3243,2057.02,0.00,2057.02,2000.00,57.02,0.0285,0.00,0.00,0.0000,0.0000,
2020-12-28,1.9456,1057.3243,2057.13,0.00,2057.13,2000.00,57.13,0.0286,0.00,0.00,0.0000,0.0000,
2020-12-29,1.9411,1057.3243,2052.37,0.00,2052.37,2000.00,52.37,0.0262,0.00,0.00,0.0000,0.0000,
2020-12-30,1.9616,1057.3243,2074.05,0.00,2074.05,2000.00,74.05,0.0370,0.00,0.00,0.0000,0.0000,
2020-12-31,1.9970,1057.3243,2111.48,0.00,2111.48,2000.00,111.48,0.0557,0.00,0.00,0.0000,0.0000,
2021-01-04,2.0203,1304.5157,2635.51,0.00,2635.51,2500.00,135.51,0.0542,500.00,0.00,247.1914,0.0000,月度定投: 全额买入 500.00 元
2021-01-05,2.0738,1304.5157,2705.30,0.00,2705.30,2500.00,205.30,0.0821,0.00,0.00,0.0000,0.0000,
2021-01-06,2.0765,1304.5157,2708.83,0.00,2708.83,2500.00,208.83,0.0835,0.00,0.00,0.0000,0.0000,
2021-01-07,2.1158,1304.5157,2760.09,0.00,2760.09,2500.00,260.09,0.1040,0.00,0.00,0.0000,0.0000,
2021-01-08,2.1221,1304.5157,2768.31,0.00,2768.31,2500.00,268.31,0.1073,0.00,0.00,0.0000,0.0000,
2021-01-11,2.1197,1304.5157,2765.18,0.00,2765.18,2500.00,265.18,0.1061,0.00,0.00,0.0000,0.0000,
2021-01-12,2.1673,1304.5157,2827.28,0.00,2827.28,2500.00,327.28,0.1309,0.00,0.00,0.0000,0.0000,
2021-01-13,2.1507,1304.5157,2805.62,0.00,2805.62,2500.00,305.62,0.1222,0.00,0.00,0.0000,0.0000,
2021-01-14,2.1102,1304.5157,2752.79,0.00,2752.79,2500.00,252.79,0.1011,0.00,0.00,0.0000,0.0000,
2021-01-15,2.1132,1304.5157,2756.70,0.00,2756.70,2500.00,256.70,0.1027,0.00,0.00,0.0000,0.0000,
2021-01-18,2.1386,1304.5157,2789.84,0.00,2789.84,2500.00,289.84,0.1159,0.00,0.00,0.0000,0.0000,
2021-01-19,2.1105,1304.5157,2753.18,0.00,2753.18,2500.00,253.18,0.1013,0.00,0.00,0.0000,0.0000,
2021-01-20,2.1314,1304.5157,2780.44,0.00,2780.44,2500.00,280.44,0.1122,0.00,0.00,0.0000,0.0000,
2021-01-21,2.1714,1304.5157,2832.63,0.00,2832.63,2500.00,332.63,0.1331,0.00,0.00,0.0000,0.0000,
2021-01-22,2.1867,1304.5157,2852.58,0.00,2852.58,2500.00,352.58,0.1410,0.00,0.00,0.0000,0.0000,
2021-01-25,2.2068,1304.5157,2878.81,0.00,2878.81,2500.00,378.81,0.1515,0.00,0.00,0.0000,0.0000,
2021-01-26,2.1603,1304.5157,2818.15,0.00,2818.15,2500.00,318.15,0.1273,0.00,0.00,0.0000,0.0000,
2021-01-27,2.1789,1304.5157,2842.41,0.00,2842.41,2500.00,342.41,0.1370,0.00,0.00,0.0000,0.0000,
2021-01-28,2.1152,1304.5157,2759.31,0.00,2759.31,2500.00,259.31,0.1037,0.00,0.00,0.0000,0.0000,
2021-01-29,2.1048,1304.5157,2745.74,0.00,2745.74,2500.00,245.74,0.0983,0.00,0.00,0.0000,0.0000,
2021-02-01,2.1503,1536.7627,3304.50,0.00,3304.50,3000.00,304.50,0.1015,500.00,0.00,232.2470,0.0000,月度定投: 全额买入 500.00 元
2021-02-02,2.1807,1536.7627,3351.22,0.00,3351.22,3000.00,351.22,0.1171,0.00,0.00,0.0000,0.0000,
2021-02-03,2.1820,1536.7627,3353.22,0.00,3353.22,3000.00,353.22,0.1177,0.00,0.00,0.0000,0.0000,
2021-02-04,2.1787,1536.7627,3348.14,0.00,3348.14,3000.00,348.14,0.1160,0.00,0.00,0.0000,0.0000,
2021-02-05,2.1809,1536.7627,3351.53,0.00,3351.53,3000.00,351.53,0.1172,0.00,0.00,0.0000,0.0000,
