date,nav,units,fund_value,cash,total_value,total_cost,unrealized_pnl,unrealized_pnl_pct,buy_cash,sell_cash,buy_units,sell_units,note
2020-12-01,1.9006,1051.0380,1997.60,0.00,1997.60,2000.00,-2.40,-0.0012,2000.00,0.00,1051.0380,0.0000,首日建仓: 全额买入 2000.00 元
2020-12-02,1.8994,1051.0380,1996.34,0.00,1996.34,2000.00,-3.66,-0.0018,0.00,0.00,0.0000,0.0000,
2020-12-03,1.9027,1051.0380,1999.81,0.00,1999.81,2000.00,-0.19,-0.0001,0.00,0.00,0.0000,0.0000,
2020-12-04,1.9166,1051.0380,2014.42,0.00,2014.42,2000.00,14.42,0.0072,0.00,0.00,0.0000,0.0000,
2020-12-07,1.9106,1051.0380,2008.11,0.00,2008.11,2000.00,8.11,0.0041,0.00,0.00,0.0000,0.0000,
2020-12-08,1.9122,1051.0380,2009.79,0.00,2009.79,2000.00,9.79,0.0049,0.00,0.00,0.0000,0.0000,
2020-12-09,1.8893,1051.0380,1985.73,0.00,1985.73,2000.00,-14.27,-0.0071,0.00,0.00,0.0000,0.0000,
2020-12-10,1.8920,1051.0380,1988.56,0.00,1988.56,2000.00,-11.44,-0.0057,0.00,0.00,0.0000,0.0000,
2020-12-11,1.8812,1051.0380,1977.21,0.00,1977.21,2000.00,-22.79,-0.0114,0.00,0.00,0.0000,0.0000,
2020-12-14,1.9014,1051.0380,1998.44,0.00,1998.44,2000.00,-1.56,-0.0008,0.00,0.00,0.0000,0.0000,
2020-12-15,1.9151,1051.0380,2012.84,0.00,2012.84,2000.00,12.84,0.0064,0.00,0.00,0.0000,0.0000,
2020-12-16,1.9181,1051.0380,2016.00,0.00,2016.00,2000.00,16.00,0.0080,0.00,0.00,0.0000,0.0000,
2020-12-17,1.9240,1051.0380,2022.20,0.00,2022.20,2000.00,22.20,0.0111,0.00,0.00,0.0000,0.0000,
2020-12-18,1.9105,1051.0380,2008.01,0.00,2008.01,2000.00,8.01,0.0040,0.00,0.00,0.0000,0.0000,
2020-12-21,1.9434,1051.0380,2042.59,0.00,2042.59,2000.00,42.59,0.0213,0.00,0.00,0.0000,0.0000,
2020-12-22,1.9205,1051.0380,2018.52,0.00,2018.52,2000.00,18.52,0.0093,0.00,0.00,0.0000,0.0000,
2020-12-23,1.9401,1051.0380,2039.12,0.00,2039.12,2000.00,39.12,0.0196,0.00,0.00,0.0000,0.0000,
2020-12-24,1.9279,1051.0380,2026.30,0.00,2026.30,2000.00,26.30,0.0131,0.00,0.00,0.0000,0.0000,
2020-12-25,1.9455,1051.0380,2044.79,0.00,2044.79,2000.00,44.79,0.0224,0.00,0.00,0.0000,0.0000,
2020-12-28,1.9456,1051.0380,2044.90,0.00,2044.90,2000.00,44.90,0.0224,0.00,0.00,0.0000,0.0000,
2020-12-29,1.9411,1051.0380,2040.17,0.00,2040.17,2000.00,40.17,0.0201,0.00,0.00,0.0000,0.0000,
2020-12-30,1.9616,1051.0380,2061.72,0.00,2061.72,2000.00,61.72,0.0309,0.00,0.00,0.0000,0.0000,
2020-12-31,1.9970,1051.0380,2098.92,0.00,2098.92,2000.00,98.92,0.0495,0.00,0.00,0.0000,0.0000,
