date,nav,units,fund_value,cash,total_value,total_cost,unrealized_pnl,unrealized_pnl_pct,buy_cash,sell_cash,buy_units,sell_units,note
2020-01-02,1.1681,8548.0887,9985.02,0.00,9985.02,10000.00,-14.98,-0.0015,10000.00,0.00,8548.0887,0.0000,定投买入: 10000.00元
2020-01-03,1.1698,8548.0887,9999.55,0.00,9999.55,10000.00,-0.45,-0.0000,0.00,0.00,0.0000,0.0000,
2020-01-06,1.1707,8548.0887,10007.25,0.00,10007.25,10000.00,7.25,0.0007,0.00,0.00,0.0000,0.0000,
2020-01-07,1.1852,8548.0887,10131.19,0.00,10131.19,10000.00,131.19,0.0131,0.00,0.00,0.0000,0.0000,
2020-01-08,1.1746,8548.0887,10040.59,0.00,10040.59,10000.00,40.59,0.0041,0.00,0.00,0.0000,0.0000,
2020-01-09,1.1974,8548.0887,10235.48,0.00,10235.48,10000.00,235.48,0.0235,0.00,0.00,0.0000,0.0000,
2020-01-10,1.1974,8548.0887,10235.48,0.00,10235.48,10000.00,235.48,0.0235,0.00,0.00,0.0000,0.0000,
2020-01-13,1.2152,8548.0887,10387.64,0.00,10387.64,10000.00,387.64,0.0388,0.00,0.00,0.0000,0.0000,
2020-01-14,1.2121,8548.0887,10361.14,0.00,10361.14,10000.00,361.14,0.0361,0.00,0.00,0.0000,0.0000,
2020-01-15,1.2114,8548.0887,10355.15,0.00,10355.15,10000.00,355.15,0.0355,0.00,0.00,0.0000,0.0000,
2020-01-16,1.2135,8548.0887,10373.11,0.00,10373.11,10000.00,373.11,0.0373,0.00,0.00,0.0000,0.0000,
2020-01-17,1.2177,8548.0887,10409.01,0.00,10409.01,10000.00,409.01,0.0409,0.00,0.00,0.0000,0.0000,
2020-01-20,1.2307,8548.0887,10520.13,0.00,10520.13,10000.00,520.13,0.0520,0.00,0.00,0.0000,0.0000,
2020-01-21,1.2222,8548.0887,10447.47,0.00,10447.47,10000.00,447.47,0.0447,0.00,0.00,0.0000,0.0000,
2020-01-22,1.2313,8548.0887,10525.26,0.00,10525.26,10000.00,525.26,0.0525,0.00,0.00,0.0000,0.0000,
2020-01-23,1.1972,8548.0887,10233.77,0.00,10233.77,10000.00,233.77,0.0234,0.00,0.00,0.0000,0.0000,
2020-02-03,1.1166,8995.2060,10044.05,500.00,10544.05,10500.00,44.05,0.0042,500.00,0.00,447.1173,0.0000,"补仓触发: 回撤9.32%>=5%, 补仓500.00元"
2020-02-04,1.1694,9422.1353,11018.25,0.00,11018.25,11000.00,18.25,0.0017,500.00,0.00,426.9293,0.0000,"补仓触发: 回撤5.03%>=5%, 补仓500.00元"
2020-02-05,1.1835,9422.1353,11151.10,0.00,11151.10,11000.00,151.10,0.0137,0.00,0.00,0.0000,0.0000,
2020-02-06,1.2189,9422.1353,11484.64,0.00,11484.64,11000.00,484.64,0.0441,0.00,0.00,0.0000,0.0000,
2020-02-07,1.2243,9422.1353,11535.52,0.00,11535.52,11000.00,535.52,0.0487,0.00,0.00,0.0000,0.0000,
