fetch_date,product_code,product_name,category,nav_date,nav,shares,value,pnl_day,cost,unrealized_pnl,return_rate,cash_in_transit,total_value,principal_total,total_redemption,total_pnl,real_return,fetched_at
采集日期,产品代码,产品名称,分类,净值日期,净值,份额,市值,日变动,成本,浮动盈亏,收益率,在途资金,总资产,累计投入本金,累计赎回,总盈亏,真实收益率,采集时间
2025-12-20,FBAE41126E,民生理财贵竹固收增利周周盈7天持有期26号理财产品E,bank,2025-12-19,1.041741,23347.510000,24322.0600,0.0000,24313.0000,9.0600,0.040000,0.0000,24322.0600,24313.0000,0.0000,9.0600,0.040000,2025-12-20 22:45:54.868
2025-12-20,000307,易方达黄金ETF联接A,fund,2025-12-19,3.207800,364.040000,1167.7700,0.0000,1132.4700,35.3000,3.120000,0.0000,1167.7700,1133.2800,0.0000,34.4900,3.040000,2025-12-20 22:45:54.868
2025-12-20,020602,易方达红利低波ETF联接A,fund,2025-12-19,1.100000,658.910000,724.8000,0.0000,738.2600,-13.4600,-1.820000,0.0000,724.8000,739.1800,0.0000,-14.3800,-1.950000,2025-12-20 22:45:54.868
2025-12-20,110020,易方达沪深300ETF联接A,fund,2025-12-19,1.835300,48.740000,89.4500,0.0000,89.7800,-0.3300,-0.360000,0.0000,89.4500,89.8900,0.0000,-0.4400,-0.490000,2025-12-20 22:45:54.868
2025-12-20,012080,易方达中证500指数量化增强A,fund,2025-12-19,1.185900,162.350000,192.5300,0.0000,189.4400,3.0900,1.630000,0.0000,192.5300,189.7200,0.0000,2.8100,1.480000,2025-12-20 22:45:54.868
2025-12-20,161125,易方达标普500指数(QDII-LOF)A,fund,2025-12-18,2.900600,140.570000,407.7400,0.0000,409.1100,-1.3700,-0.340000,19.9800,427.7200,429.5600,0.0000,-1.8400,-0.430000,2025-12-20 22:45:54.868
2025-12-20,161130,易方达纳斯达克100ETF联接(QDII-LOF)A,fund,2025-12-18,3.936900,159.050000,626.1600,0.0000,638.5100,-12.3500,-1.930000,19.9800,646.1400,659.2600,0.0000,-13.1200,-1.990000,2025-12-20 22:45:54.868
2025-12-20,013308,易方达恒生科技ETF联接(QDII)A,fund,2025-12-19,1.344700,455.720000,612.8100,0.0000,639.2500,-26.4400,-4.140000,0.0000,612.8100,639.6500,0.0000,-26.8400,-4.200000,2025-12-20 22:45:54.868
2025-12-20,019172,摩根纳斯达克100指数(QDII)A,fund,2025-12-18,1.561800,525.990000,821.4900,0.0000,828.1400,-6.6500,-0.800000,19.9800,841.4700,849.1300,0.0000,-7.6600,-0.900000,2025-12-20 22:45:54.868
2025-12-20,017641,摩根标普500指数(QDII)A,fund,2025-12-18,1.561000,584.840000,912.9400,0.0000,917.9600,-5.0200,-0.550000,199.7600,1112.7000,1119.0400,0.0000,-6.3400,-0.570000,2025-12-20 22:45:54.868
2025-12-20,019767,景顺长城科创50指数增强A,fund,2025-12-19,1.792700,254.390000,456.0400,0.0000,468.9600,-12.9200,-2.750000,0.0000,456.0400,469.5100,0.0000,-13.4700,-2.870000,2025-12-20 22:45:54.868
2025-12-20,016452,南方纳斯达克100指数(QDII)A,fund,2025-12-18,2.038700,384.540000,783.9600,0.0000,795.8900,-11.9300,-1.500000,99.8800,883.8400,896.8500,0.0000,-13.0100,-1.450000,2025-12-20 22:45:54.868
2025-12-20,018043,天弘纳斯达克100指数(QDII)A,fund,2025-12-18,1.810300,617.040000,1117.0300,0.0000,1127.7900,-10.7600,-0.950000,99.9000,1216.9300,1228.9200,0.0000,-11.9900,-0.980000,2025-12-20 22:45:54.868
2025-12-20,015299,华夏纳斯达克100ETF联接(QDII)A,fund,2025-12-18,1.798200,685.710000,1233.0400,0.0000,1246.8000,-13.7600,-1.100000,0.0000,1233.0400,1248.4000,0.0000,-15.3600,-1.230000,2025-12-20 22:45:54.868
2025-12-20,163406,兴全合润混合(LOF)A,fund,2025-12-19,2.027900,651.090000,1320.3500,0.0000,1267.7600,52.5800,4.150000,0.0000,1320.3500,3046.3300,1855.7600,129.7800,4.260000,2025-12-20 22:45:54.868
2025-12-20,000686,建信嘉薪宝货币市场基金A类,fund,2025-12-20,1.000000,348.250000,348.2500,0.0000,348.2500,0.0000,0.000000,0.0000,348.2500,348.2500,0.0000,0.0000,0.000000,2025-12-20 22:45:54.868
2025-12-21,FBAE41126E,民生理财贵竹固收增利周周盈7天持有期26号理财产品E,bank,2025-12-19,1.041741,23347.510000,24322.0600,0.0000,24313.0000,9.0600,0.040000,0.0000,24322.0600,24313.0000,0.0000,9.0600,0.040000,2025-12-21 02:01:21.887
2025-12-21,000307,易方达黄金ETF联接A,fund,2025-12-19,3.207800,364.040000,1167.7700,0.0000,1132.4700,35.3000,3.120000,0.0000,1167.7700,1133.2800,0.0000,34.4900,3.040000,2025-12-21 02:01:21.887
2025-12-21,020602,易方达红利低波ETF联接A,fund,2025-12-19,1.100000,658.910000,724.8000,0.0000,738.2600,-13.4600,-1.820000,0.0000,724.8000,739.1800,0.0000,-14.3800,-1.950000,2025-12-21 02:01:21.887
2025-12-21,110020,易方达沪深300ETF联接A,fund,2025-12-19,1.835300,48.740000,89.4500,0.0000,89.7800,-0.3300,-0.360000,0.0000,89.4500,89.8900,0.0000,-0.4400,-0.490000,2025-12-21 02:01:21.887
2025-12-21,012080,易方达中证500指数量化增强A,fund,2025-12-19,1.185900,162.350000,192.5300,0.0000,189.4400,3.0900,1.630000,0.0000,192.5300,189.7200,0.0000,2.8100,1.480000,2025-12-21 02:01:21.887
2025-12-21,161125,易方达标普500指数(QDII-LOF)A,fund,2025-12-18,2.900600,140.570000,407.7400,0.0000,409.1100,-1.3700,-0.340000,19.9800,427.7200,429.5600,0.0000,-1.8400,-0.430000,2025-12-21 02:01:21.887
2025-12-21,161130,易方达纳斯达克100ETF联接(QDII-LOF)A,fund,2025-12-18,3.936900,159.050000,626.1600,0.0000,638.5100,-12.3500,-1.930000,19.9800,646.1400,659.2600,0.0000,-13.1200,-1.990000,2025-12-21 02:01:21.887
