fetch_date,category,total_value,total_pnl,pnl_day,cost,unrealized_pnl,principal_total,pnl_vs_prev,product_count
采集日期,分类,总资产,总盈亏,日变动,成本,浮动盈亏,累计投入本金,相对前日变动,产品数量
2025-12-18,基金,9724.41,-1898.31,0.00,9845.68,-121.28,11622.72,0.00,14
2025-12-18,银行理财,11316.30,7.30,0.00,11309.00,7.30,11309.00,0.00,1
2025-12-18,总资产,21040.71,-1891.01,0.00,21154.68,-113.98,22931.72,0.00,15
2025-12-19,基金,10466.11,-1812.61,81.75,10490.12,-24.02,12278.72,741.70,14
2025-12-19,银行理财,11316.87,7.87,0.56,11309.00,7.87,11309.00,0.57,1
2025-12-19,总资产,21782.98,-1804.74,82.31,21799.12,-16.15,23587.72,742.27,15
2025-12-20,基金,10466.11,-1812.61,0.00,10490.12,-24.02,12278.72,0.00,15
2025-12-20,银行理财,24320.87,7.87,0.00,24313.00,7.87,24313.00,13004.00,1
2025-12-20,总资产,34786.98,-1804.74,0.00,34803.12,-16.15,36591.72,13004.00,16
