date,product_code,action,amount,shares,fee,nav,nav_date,note
2025-07-18,163406,buy,99.88 ,61.37 ,0.12 ,1.6274 ,2025-07-17,兴全合润混合(LOF)A
2025-07-22,163406,buy,99.88 ,60.50 ,0.12 ,1.6508 ,2025-07-21,兴全合润混合(LOF)A
2025-07-29,163406,buy,99.88 ,59.97 ,0.12 ,1.6655 ,2025-07-28,兴全合润混合(LOF)A
2025-08-12,163406,buy,99.88 ,58.92 ,0.12 ,1.6953 ,2025-08-11,兴全合润混合(LOF)A
2025-08-19,163406,buy,224.73 ,126.98 ,0.27 ,1.7698 ,2025-08-18,兴全合润混合(LOF)A
2025-08-26,163406,buy,224.73 ,118.91 ,0.27 ,1.8899 ,2025-08-25,兴全合润混合(LOF)A
2025-09-04,163406,buy,224.73 ,115.42 ,0.27 ,1.9471 ,2025-09-03,兴全合润混合(LOF)A
2025-09-09,163406,buy,224.73 ,115.14 ,0.27 ,1.9518 ,2025-09-08,兴全合润混合(LOF)A
2025-09-16,163406,buy,324.61 ,160.29 ,0.39 ,2.0251 ,2025-09-15,兴全合润混合(LOF)A
2025-09-23,163406,buy,324.61 ,156.22 ,0.39 ,2.0779 ,2025-09-22,兴全合润混合(LOF)A
2025-09-30,163406,buy,324.61 ,151.19 ,0.39 ,2.1470 ,2025-09-29,兴全合润混合(LOF)A
2025-10-14,163406,buy,324.61 ,157.19 ,0.39 ,2.0651 ,2025-10-13,兴全合润混合(LOF)A
2025-10-21,163406,buy,89.89 ,45.25 ,0.11 ,1.9864 ,2025-10-20,兴全合润混合(LOF)A
2025-10-31,163406,buy,89.89 ,42.57 ,0.11 ,2.1118 ,2025-10-30,兴全合润混合(LOF)A
2025-11-07,163406,buy,89.89 ,43.52 ,0.11 ,2.0655 ,2025-11-06,兴全合润混合(LOF)A
2025-11-14,163406,buy,89.89 ,43.73 ,0.11 ,2.0555 ,2025-11-13,兴全合润混合(LOF)A
2025-11-21,163406,buy,89.89 ,45.46 ,0.11 ,1.9774 ,2025-11-20,兴全合润混合(LOF)A
2025-12-05,163406,sell,1046.40 ,520.88 ,5.26 ,2.0190 ,2025-12-04,兴全合润混合(LOF)A
2025-12-10,163406,sell,809.36 ,390.66 ,4.07 ,2.0822 ,2025-12-09,兴全合润混合(LOF)A
2025-10-31,019767,buy,49.94 ,25.35 ,0.06 ,1.9699 ,2025-10-30,景顺长城科创50指数增强A
2025-11-07,019767,buy,59.93 ,30.90 ,0.07 ,1.9397 ,2025-11-06,景顺长城科创50指数增强A
2025-11-14,019767,buy,59.93 ,31.65 ,0.07 ,1.8934 ,2025-11-13,景顺长城科创50指数增强A
2025-11-21,019767,buy,69.92 ,38.72 ,0.08 ,1.8057 ,2025-11-20,景顺长城科创50指数增强A
