month,monthly_return(%),nav,units,fund_value,cash_pool,total_value,total_cost,unrealized_gain,unrealized_gain_pct(%),last_peak_nav,dip_buy_cash,tp_sell_cash,note
1,0.05,1.0005,2000.0,2000.97,500.0,2500.97,2000.0,0.97,0.05,1.0005,0.0,0.0,
2,-0.1,0.9995,2000.0,1998.95,1000.0,2998.95,2000.0,-1.05,-0.05,1.0005,0.0,0.0,
3,0.22,1.0017,2000.0,2003.33,1500.0,3503.33,2000.0,3.33,0.17,1.0017,0.0,0.0,
4,4.45,1.0462,2000.0,2092.38,2000.0,4092.38,2000.0,92.38,4.62,1.0462,0.0,0.0,
5,0.13,1.0476,2000.0,2095.19,2500.0,4595.19,2000.0,95.19,4.76,1.0476,0.0,0.0,
6,-6.98,0.9744,2000.0,1948.88,3000.0,4948.88,2000.0,-51.12,-2.56,1.0476,0.0,0.0,
7,2.52,0.999,2000.0,1998.08,3500.0,5498.08,2000.0,-1.92,-0.1,1.0476,0.0,0.0,
8,-0.59,0.9931,2000.0,1986.25,4000.0,5986.25,2000.0,-13.75,-0.69,1.0476,0.0,0.0,
9,-0.33,0.9899,2000.0,1979.7,4500.0,6479.7,2000.0,-20.3,-1.01,1.0476,0.0,0.0,
10,1.4,1.0037,2000.0,2007.41,5000.0,7007.41,2000.0,7.41,0.37,1.0476,0.0,0.0,
11,2.0,1.0238,2000.0,2047.65,5500.0,7547.65,2000.0,47.65,2.38,1.0476,0.0,0.0,
12,6.84,1.0939,2000.0,2187.78,6000.0,8187.78,2000.0,187.78,9.39,1.0939,0.0,0.0,
13,4.21,1.1399,2000.0,2279.87,6500.0,8779.87,2000.0,279.87,13.99,1.1399,0.0,0.0,
14,1.37,1.1556,2000.0,2311.14,7000.0,9311.14,2000.0,311.14,15.56,1.1556,0.0,0.0,
15,-3.04,1.1205,2000.0,2240.9,7500.0,9740.9,2000.0,240.9,12.05,1.1556,0.0,0.0,
16,-4.47,1.0703,5737.2278,6140.62,4000.0,10140.62,6000.0,140.62,2.34,1.1556,4000.0,0.0,低位补仓: 用现金 4000.00 买入 3737.23 份
17,2.08,1.0925,5737.2278,6268.19,4500.0,10768.19,6000.0,268.19,4.47,1.1556,0.0,0.0,
18,7.61,1.1757,5737.2278,6745.2,5000.0,11745.2,6000.0,745.2,12.42,1.1757,0.0,0.0,
19,1.01,1.1876,5737.2278,6813.59,5500.0,12313.59,6000.0,813.59,13.56,1.1876,0.0,0.0,
20,0.24,1.1905,5737.2278,6830.28,6000.0,12830.28,6000.0,830.28,13.84,1.1905,0.0,0.0,
21,3.56,1.2329,5737.2278,7073.48,6500.0,13573.48,6000.0,1073.48,17.89,1.2329,0.0,0.0,
22,-6.76,1.1496,5737.2278,6595.63,7000.0,13595.63,6000.0,595.63,9.93,1.2329,0.0,0.0,
23,-0.83,1.1401,9026.3169,10291.2,3750.0,14041.2,9750.0,541.2,5.55,1.2329,3750.0,0.0,低位补仓: 用现金 3750.00 买入 3289.09 份
24,3.35,1.1783,9026.3169,10635.49,4250.0,14885.49,9750.0,885.49,9.08,1.2329,0.0,0.0,
